year,ggm_m,ggm_m_stderr,ggm_fit_age_start,ggm_fit_age_end,ci_method,ggm_m_ci_low,ggm_m_ci_high
1817,0.0071586584734495634,0.0001662063715622199,20,100,lognormal delta-method from GGM curve_fit covariance,0.006840200716713621,0.007491942599619006
1818,0.00667811041110012,0.00023469896687635514,20,100,lognormal delta-method from GGM curve_fit covariance,0.006233594213688783,0.007154324958289684
1819,0.00834659740572064,0.00016445794877717213,20,100,lognormal delta-method from GGM curve_fit covariance,0.008030410352355449,0.008675233916626494
1820,0.007185264412623941,0.0002471225387746357,20,100,lognormal delta-method from GGM curve_fit covariance,0.006716877233572912,0.007686313577575623
1821,0.006803431315039918,0.0001882269046043109,20,100,lognormal delta-method from GGM curve_fit covariance,0.006444337331726782,0.007182534879201167
1822,0.006499315006758934,0.00018281016612394342,20,100,lognormal delta-method from GGM curve_fit covariance,0.006150711060614688,0.006867676784163619
1823,0.005096835938714323,0.00019239583151300617,20,100,lognormal delta-method from GGM curve_fit covariance,0.0047333587345506105,0.005488224756038118
1824,0.006110249069849295,0.00013059653160383346,20,100,lognormal delta-method from GGM curve_fit covariance,0.005859571790951364,0.0063716505279872
1825,0.006720752942782764,0.00015586112113694615,20,100,lognormal delta-method from GGM curve_fit covariance,0.006422109381458985,0.007033284149336886
1826,0.006618987574502756,0.00018641306636757817,20,100,lognormal delta-method from GGM curve_fit covariance,0.006263525541925673,0.006994622472306948
1827,0.007169080298958341,0.000261071423900958,20,100,lognormal delta-method from GGM curve_fit covariance,0.006675223767273615,0.007699474073796383
1828,0.007207035655518252,0.0003484435599021502,20,100,lognormal delta-method from GGM curve_fit covariance,0.006555457985141376,0.007923376682093284
1829,0.007293635356838222,0.000368037806257631,20,100,lognormal delta-method from GGM curve_fit covariance,0.006606817408795161,0.00805185211380343
1830,0.00647370683261179,0.0003260260545103723,20,100,lognormal delta-method from GGM curve_fit covariance,0.005865231793529166,0.007145306721013256
1831,0.006890330891477174,0.00027389757986631756,20,100,lognormal delta-method from GGM curve_fit covariance,0.006373881151535591,0.007448626459344411
