panel,param,value,scenario_id,n_sim,seed_method,max_lifespan
heterogeneity,beta,0.17,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,146.7
heterogeneity,beta,0.18,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,149.6
heterogeneity,beta,0.18,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,148.3
heterogeneity,beta,0.18,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,150.6
heterogeneity,beta,0.19,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,151.70001000000627
heterogeneity,beta,0.19,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,150.5
heterogeneity,beta,0.19,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,154.1
heterogeneity,beta,0.2,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,155.1
heterogeneity,beta,0.2,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,154.2
heterogeneity,beta,0.2,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,156.9
heterogeneity,Xc,0.0,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3
heterogeneity,Xc,0.0,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,105.9
heterogeneity,Xc,0.0,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.7
heterogeneity,Xc,0.01,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.1
heterogeneity,Xc,0.01,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.1
heterogeneity,Xc,0.01,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.5
heterogeneity,Xc,0.02,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6
heterogeneity,Xc,0.02,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,105.8
heterogeneity,Xc,0.02,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.9
heterogeneity,Xc,0.03,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.4
heterogeneity,Xc,0.03,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.1
heterogeneity,Xc,0.03,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.9000100000063
heterogeneity,Xc,0.04,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6
heterogeneity,Xc,0.04,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.2
heterogeneity,Xc,0.04,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.1
heterogeneity,Xc,0.05,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.0
heterogeneity,Xc,0.05,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.4000100000063
heterogeneity,Xc,0.05,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.0
heterogeneity,Xc,0.06,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.0
heterogeneity,Xc,0.06,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.9
heterogeneity,Xc,0.06,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.9
heterogeneity,Xc,0.07,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.3
heterogeneity,Xc,0.07,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.1
heterogeneity,Xc,0.07,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.9
heterogeneity,Xc,0.08,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.6000100000063
heterogeneity,Xc,0.08,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.3
heterogeneity,Xc,0.08,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.2
heterogeneity,Xc,0.09,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.8
heterogeneity,Xc,0.09,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.3
heterogeneity,Xc,0.09,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.2
heterogeneity,Xc,0.1,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.2
heterogeneity,Xc,0.1,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.9000100000063
heterogeneity,Xc,0.1,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.7000100000063
heterogeneity,Xc,0.11,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.5
heterogeneity,Xc,0.11,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.0
heterogeneity,Xc,0.11,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.9
heterogeneity,Xc,0.12,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.8
heterogeneity,Xc,0.12,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.3
heterogeneity,Xc,0.12,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.0
heterogeneity,Xc,0.13,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.1
heterogeneity,Xc,0.13,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.6
heterogeneity,Xc,0.13,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.5
heterogeneity,Xc,0.14,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.4000100000063
heterogeneity,Xc,0.14,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.3
heterogeneity,Xc,0.14,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.6
heterogeneity,Xc,0.15,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.6
heterogeneity,Xc,0.15,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.4
heterogeneity,Xc,0.15,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.8
heterogeneity,Xc,0.16,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.8000100000063
heterogeneity,Xc,0.16,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.7000100000063
heterogeneity,Xc,0.16,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.1
heterogeneity,Xc,0.17,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.2
heterogeneity,Xc,0.17,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.8
heterogeneity,Xc,0.17,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.5
heterogeneity,Xc,0.18,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.4
heterogeneity,Xc,0.18,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.1
heterogeneity,Xc,0.18,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.6
heterogeneity,Xc,0.19,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.9
heterogeneity,Xc,0.19,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.4
heterogeneity,Xc,0.19,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.7000100000063
heterogeneity,Xc,0.2,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,111.0
heterogeneity,Xc,0.2,Xc_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.5
heterogeneity,Xc,0.2,Xc_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,111.2
