focal_param,curve_type,polygon_order,x,y
beta,parameter_factor,4,0.8801545514178801,0.9102256138965923
beta,parameter_factor,5,0.9943875987179766,1.0044950857602004
beta,parameter_factor,6,1.1012493741479858,1.1085866033612002
beta,parameter_factor,7,1.2057561853735208,1.2127393280146537
beta,parameter_factor,8,1.311511073170268,1.3204989938143776
beta,parameter_factor,9,1.4181290733757559,1.4177481119624422
beta,parameter_factor,10,1.4451513865187922,1.440247738080089
beta,parameter_factor,11,1.490150638754086,1.3862031117940166
beta,parameter_factor,12,1.4631283256110497,1.3637034856763697
beta,parameter_factor,13,1.3492705954880653,1.2773775903106808
beta,parameter_factor,14,1.2337409605049878,1.1818821856977753
beta,parameter_factor,15,1.1186485485368134,1.0894463282478093
beta,parameter_factor,16,1.006404674269721,0.9913284721529795
beta,parameter_factor,17,0.9011210219583541,0.8874797872201523
beta,parameter_factor,18,0.7989170835757065,0.7763750046234985
beta,parameter_factor,19,0.6989326599362549,0.6643791947559483
beta,parameter_factor,20,0.5964624733940059,0.5508623359556449
beta,parameter_factor,21,0.5623191128821803,0.5172517754451427
epsilon,parameter_factor,0,1.1713684297140519,1.6877303429097228
epsilon,parameter_factor,1,1.164332626551611,1.6274838942463952
epsilon,parameter_factor,2,1.1259478888903633,1.4211807480664005
epsilon,parameter_factor,3,1.086387994917239,1.256400655548909
epsilon,parameter_factor,4,1.041939296088306,1.1154368530631706
epsilon,parameter_factor,5,1.00276478202564,0.999078891875093
epsilon,parameter_factor,6,0.9908896280647064,0.8925918457231067
epsilon,parameter_factor,7,0.9773230582410869,0.7983835624715412
epsilon,parameter_factor,8,0.9618745417812865,0.7116055121342367
epsilon,parameter_factor,9,0.9460038079359436,0.6342750453189789
epsilon,parameter_factor,10,0.9169696860550541,0.5693823846081227
epsilon,parameter_factor,11,0.7871843646333417,0.6274506283699017
epsilon,parameter_factor,12,0.8162184865142312,0.6923432890807579
epsilon,parameter_factor,13,0.8620449670738427,0.7529090678489053
epsilon,parameter_factor,14,0.9070898249457605,0.8235661131594803
epsilon,parameter_factor,15,0.9522586744463168,0.9044475759300762
epsilon,parameter_factor,16,0.9975169204884795,1.0004201128236616
epsilon,parameter_factor,17,1.0135893423086566,1.121318666715664
epsilon,parameter_factor,18,1.022621549603791,1.2671593748081762
epsilon,parameter_factor,19,1.0338264970207407,1.4334346301053413
epsilon,parameter_factor,20,1.0438397292249557,1.641555500571277
epsilon,parameter_factor,21,1.0508755323873966,1.7018019492346046
eta,parameter_factor,0,1.4040905729922235,0.9685406955074413
eta,parameter_factor,1,1.383222822231369,0.968839404848307
eta,parameter_factor,2,1.2257537062506607,0.9754822614640903
eta,parameter_factor,3,1.1004442050278946,0.9799761258588303
eta,parameter_factor,4,0.9999610158582644,0.9874022127691189
eta,parameter_factor,5,0.9169379163218656,0.9952408785120551
eta,parameter_factor,6,0.8468497439396333,0.997030791652307
eta,parameter_factor,7,0.7872693445889611,0.9941163555457269
eta,parameter_factor,8,0.7356522812627149,0.9969896840904781
eta,parameter_factor,9,0.7232230190163454,0.9977895825969593
eta,parameter_factor,10,0.7248228160293079,1.022648107089698
eta,parameter_factor,11,0.7372520782756773,1.0218482085832168
eta,parameter_factor,12,0.7881997100704119,1.0181208761378968
eta,parameter_factor,13,0.8474359187565913,1.0132268204069188
