fit_name,fit_params,contains_senogenic,age,survival
eta+Xc,eta+Xc,True,7.75,0.8138
eta+Xc,eta+Xc,True,8.0,0.8026
eta+Xc,eta+Xc,True,8.25,0.7926
eta+Xc,eta+Xc,True,8.5,0.7842
eta+Xc,eta+Xc,True,8.75,0.7742
eta+Xc,eta+Xc,True,9.0,0.7656
eta+Xc,eta+Xc,True,9.25,0.753
eta+Xc,eta+Xc,True,9.5,0.7442
eta+Xc,eta+Xc,True,9.75,0.7328
eta+Xc,eta+Xc,True,10.0,0.7202
eta+Xc,eta+Xc,True,10.25,0.7108
eta+Xc,eta+Xc,True,10.5,0.701
eta+Xc,eta+Xc,True,10.75,0.689
eta+Xc,eta+Xc,True,11.0,0.6766
eta+Xc,eta+Xc,True,11.25,0.663
eta+Xc,eta+Xc,True,11.5,0.6496
eta+Xc,eta+Xc,True,11.75,0.6374
eta+Xc,eta+Xc,True,12.0,0.622
eta+Xc,eta+Xc,True,12.25,0.6074
eta+Xc,eta+Xc,True,12.5,0.5956
eta+Xc,eta+Xc,True,12.75,0.5846
eta+Xc,eta+Xc,True,13.0,0.5706
eta+Xc,eta+Xc,True,13.25,0.555
eta+Xc,eta+Xc,True,13.5,0.5408
eta+Xc,eta+Xc,True,13.75,0.524
eta+Xc,eta+Xc,True,14.0,0.5108
eta+Xc,eta+Xc,True,14.25,0.4942
eta+Xc,eta+Xc,True,14.5,0.478
eta+Xc,eta+Xc,True,14.75,0.4622
eta+Xc,eta+Xc,True,15.0,0.449
eta+Xc,eta+Xc,True,15.25,0.4328
eta+Xc,eta+Xc,True,15.5,0.4138
eta+Xc,eta+Xc,True,15.75,0.399
eta+Xc,eta+Xc,True,16.0,0.3838
eta+Xc,eta+Xc,True,16.25,0.3684
eta+Xc,eta+Xc,True,16.5,0.3548
eta+Xc,eta+Xc,True,16.75,0.3414
eta+Xc,eta+Xc,True,17.0,0.3234
eta+Xc,eta+Xc,True,17.25,0.3098
eta+Xc,eta+Xc,True,17.5,0.2956
eta+Xc,eta+Xc,True,17.75,0.2814
eta+Xc,eta+Xc,True,18.0,0.2648
eta+Xc,eta+Xc,True,18.25,0.2526
eta+Xc,eta+Xc,True,18.5,0.238
eta+Xc,eta+Xc,True,18.75,0.2224
eta+Xc,eta+Xc,True,19.0,0.209
eta+Xc,eta+Xc,True,19.25,0.1984
eta+Xc,eta+Xc,True,19.5,0.1888
eta+Xc,eta+Xc,True,19.75,0.1772
eta+Xc,eta+Xc,True,20.0,0.1646
eta+Xc,eta+Xc,True,20.25,0.1528
eta+Xc,eta+Xc,True,20.5,0.1422
eta+Xc,eta+Xc,True,20.75,0.1346
eta+Xc,eta+Xc,True,21.0,0.123
eta+Xc,eta+Xc,True,21.25,0.114
eta+Xc,eta+Xc,True,21.5,0.104
eta+Xc,eta+Xc,True,21.75,0.0954
eta+Xc,eta+Xc,True,22.0,0.0838
eta+Xc,eta+Xc,True,22.25,0.0778
eta+Xc,eta+Xc,True,22.5,0.0698
eta+Xc,eta+Xc,True,22.75,0.0638
eta+Xc,eta+Xc,True,23.0,0.057
eta+Xc,eta+Xc,True,23.25,0.0518
eta+Xc,eta+Xc,True,23.5,0.0456
eta+Xc,eta+Xc,True,23.75,0.04
eta+Xc,eta+Xc,True,24.0,0.0366
eta+Xc,eta+Xc,True,24.25,0.0316
eta+Xc,eta+Xc,True,24.5,0.0272
eta+Xc,eta+Xc,True,24.75,0.0238
eta+Xc,eta+Xc,True,25.0,0.0198
eta+Xc,eta+Xc,True,25.25,0.016
eta+Xc,eta+Xc,True,25.5,0.0136
eta+Xc,eta+Xc,True,25.75,0.0122
eta+Xc,eta+Xc,True,26.0,0.0104
eta+Xc,eta+Xc,True,26.25,0.0088
eta+Xc,eta+Xc,True,26.5,0.0074
eta+Xc,eta+Xc,True,26.75,0.0052
eta+Xc,eta+Xc,True,27.0,0.004
eta+Xc,eta+Xc,True,27.25,0.0034
eta+Xc,eta+Xc,True,27.5,0.0026
eta+Xc,eta+Xc,True,27.75,0.0022
eta+Xc,eta+Xc,True,28.0,0.002
