topic,group,label,x,y,x_err,y_err,n,deaths,curve_set,coordinate,coordinate_class,distance,distance_sq,factor,projected_log_median,projected_log_steepness
number_of_friends,0 friends,0 friends,0.950253807106599,0.8388458027639211,0.018579778614446648,0.14010486261938443,637,288.0,mean_model_curve,eta,senogenic,0.1775760077787564,0.031533238538640956,1.0389355742296917,-0.03473954209418113,0.0010991793848702414
number_of_friends,0 friends,0 friends,0.950253807106599,0.8388458027639211,0.018579778614446648,0.14010486261938443,637,288.0,mean_model_curve,beta,senogenic,0.09996744759301421,0.009993490578262041,0.9015606242496998,-0.11583965824116883,-0.09961857649237307
number_of_friends,0 friends,0 friends,0.950253807106599,0.8388458027639211,0.018579778614446648,0.14010486261938443,637,288.0,mean_model_curve,Xc,robustness,0.012664159219617353,0.00016038092873981921,0.885874349739896,-0.06276755786364026,-0.1709827873136901
number_of_friends,0 friends,0 friends,0.950253807106599,0.8388458027639211,0.018579778614446648,0.14010486261938443,637,288.0,mean_model_curve,epsilon,robustness,0.0001729974027962187,2.992810137423713e-08,1.1605442176870748,-0.051136656101070425,-0.17559526078498552
number_of_friends,0 friends,0 friends,0.950253807106599,0.8388458027639211,0.018579778614446648,0.14010486261938443,637,288.0,mean_model_curve,h_ext,extrinsic,0.03124445527725846,0.000976215985572604,0.0017512163874480113,-0.019983588662414557,-0.17927442468296337
number_of_friends,1+ friends,1+ friends,1.0111675126903554,0.997631848385146,0.0,0.023983687729216743,13031,5571.0,mean_model_curve,eta,senogenic,0.0005731666786836346,3.2852004155322885e-07,0.9876750700280111,0.011089069208002306,-0.002943887892436383
number_of_friends,1+ friends,1+ friends,1.0111675126903554,0.997631848385146,0.0,0.023983687729216743,13031,5571.0,mean_model_curve,beta,senogenic,0.00937922671382277,8.796989374928665e-05,1.0049619847939175,0.005212202587572702,0.004925447710328004
number_of_friends,1+ friends,1+ friends,1.0111675126903554,0.997631848385146,0.0,0.023983687729216743,13031,5571.0,mean_model_curve,Xc,robustness,0.011573741033262001,0.00013395148150501256,1.000800320128051,0.00023868862653009606,0.0016116724256154055
number_of_friends,1+ friends,1+ friends,1.0111675126903554,0.997631848385146,0.0,0.023983687729216743,13031,5571.0,mean_model_curve,epsilon,robustness,0.011540501271873902,0.00013318316960612313,0.9991996798719487,-9.515977402818707e-07,0.0007638950018764227
number_of_friends,1+ friends,1+ friends,1.0111675126903554,0.997631848385146,0.0,0.023983687729216743,13031,5571.0,mean_model_curve,h_ext,extrinsic,0.013757223164874393,0.0001892611892081566,0.0001,-0.0011665781836224676,-0.00858822873347331
income,Q1 (Lowest),Q1 income,0.950253807106599,0.724457738750659,0.010656243028066456,0.04321224241344358,7897,763.0,mean_model_curve,eta,senogenic,0.3235771886775986,0.10470219703249824,1.0243697478991596,-0.0219671164542917,-6.213624091542555e-05
income,Q1 (Lowest),Q1 income,0.950253807106599,0.724457738750659,0.010656243028066456,0.04321224241344358,7897,763.0,mean_model_curve,beta,senogenic,0.21233508694049857,0.04508618914602908,0.8468187274909964,-0.18623482168213104,-0.15861011030690567
income,Q1 (Lowest),Q1 income,0.950253807106599,0.724457738750659,0.010656243028066456,0.04321224241344358,7897,763.0,mean_model_curve,Xc,robustness,0.06932057810866774,0.0048053425493199044,0.814485794317727,-0.11428491361667499,-0.29398271942992543
income,Q1 (Lowest),Q1 income,0.950253807106599,0.724457738750659,0.010656243028066456,0.04321224241344358,7897,763.0,mean_model_curve,epsilon,robustness,0.04815963927616598,0.002319350855210429,1.2933973589435772,-0.09625277852083697,-0.30578179744795575
income,Q1 (Lowest),Q1 income,0.950253807106599,0.724457738750659,0.010656243028066456,0.04321224241344358,7897,763.0,mean_model_curve,h_ext,extrinsic,0.014473417875402213,0.00020947982499601233,0.003043882930764454,-0.03666810280906329,-0.32415555113303973
income,Q2,Q2 income,0.9624365482233503,0.8496002361326892,0.008135116032388168,0.055573880666262426,7770,993.0,mean_model_curve,eta,senogenic,0.16373483335565325,0.026809095654003544,1.0260504201680671,-0.02345061100250587,7.190508727581536e-05
income,Q2,Q2 income,0.9624365482233503,0.8496002361326892,0.008135116032388168,0.055573880666262426,7770,993.0,mean_model_curve,beta,senogenic,0.09853237708467742,0.009708629333957063,0.9124449779911965,-0.10240174223527827,-0.08816992143076972
income,Q2,Q2 income,0.9624365482233503,0.8496002361326892,0.008135116032388168,0.055573880666262426,7770,993.0,mean_model_curve,Xc,robustness,0.0198768413493127,0.0003950888220257471,0.89515806322529,-0.056875660659396296,-0.1559497709238979
income,Q2,Q2 income,0.9624365482233503,0.8496002361326892,0.008135116032388168,0.055573880666262426,7770,993.0,mean_model_curve,epsilon,robustness,0.008295564828870594,6.881639582999481e-05,1.1458183273309324,-0.046164025941801703,-0.16038722707585787
income,Q2,Q2 income,0.9624365482233503,0.8496002361326892,0.008135116032388168,0.055573880666262426,7770,993.0,mean_model_curve,h_ext,extrinsic,0.020015091442895525,0.0004006038854674697,0.0016261957181126618,-0.018410024802468644,-0.1653354579627552
income,Q3,Q3 income,1.0233502538071066,1.1442717104369384,0.006086495511129404,0.09984266402370386,7783,788.0,mean_model_curve,eta,senogenic,0.13823253883915898,0.019108234793919595,0.9871148459383753,0.01160355677711361,-0.002986787748174219
income,Q3,Q3 income,1.0233502538071066,1.1442717104369384,0.006086495511129404,0.09984266402370386,7783,788.0,mean_model_curve,beta,senogenic,0.08806024211233682,0.007754606240883378,1.074749899959984,0.07986715325230465,0.06746287080598094
income,Q3,Q3 income,1.0233502538071066,1.1442717104369384,0.006086495511129404,0.09984266402370386,7783,788.0,mean_model_curve,Xc,robustness,0.020365702552966995,0.0004147618404759264,1.104201680672269,0.042482072998722586,0.12857228338088758
income,Q3,Q3 income,1.0233502538071066,1.1442717104369384,0.006086495511129404,0.09984266402370386,7783,788.0,mean_model_curve,epsilon,robustness,0.010399926769498075,0.00010815847681092266,0.8868347338935574,0.03318278965479941,0.13229276577375124
income,Q3,Q3 income,1.0233502538071066,1.1442717104369384,0.006086495511129404,0.09984266402370386,7783,788.0,mean_model_curve,h_ext,extrinsic,0.14539291495514872,0.021139099719155112,0.0001,-0.0011665781836224676,-0.00858822873347331
income,Q4 (Highest),Q4 income,1.0477157360406093,1.597522193142479,0.005448287457867509,0.1083471090357268,7784,486.0,mean_model_curve,eta,senogenic,0.4727173434923754,0.22346168683848838,0.992156862745098,0.006983632791117242,-0.0025995468411869373
income,Q4 (Highest),Q4 income,1.0477157360406093,1.597522193142479,0.005448287457867509,0.1083471090357268,7784,486.0,mean_model_curve,beta,senogenic,0.323136252486491,0.10441703767101326,1.2629851940776309,0.2574634058875776,0.22358883503100213
