scenario_id,factor,age,remaining_median,n,random_seed,baseline_remaining,gain_years,gain_fit_low,gain_fit_high,gain_projection_low,gain_projection_high,factor_projection_low,factor_projection_high,factor_projection_low_delta,factor_projection_high_delta,projection_neighbor_count,gain_low,gain_high,uncertainty_method
central,1.1,100,2.049999999999997,300000,20266126,1.875,0.17499999999999716,0.17499999999999716,0.2750000000000057,0.02284913965586101,0.47181872749099957,1.0228491396558623,1.1822729091636652,0.07715086034413776,0.08227290916366514,5,0.17499999999999716,0.2750000000000057,fit_ci_plus_projection_boundaries_v1
central,1.15,60,28.075000000000003,300000,20266227,23.72499999999999,4.350000000000012,4.25,4.350000000000012,1.814949979991993,5.5500000000000185,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,4.25,4.350000000000012,fit_ci_plus_projection_boundaries_v1
central,1.15,65,23.325000000000003,300000,20266227,19.27500000000001,4.049999999999994,3.9749999999999943,4.049999999999994,1.6829211684673884,5.1999999999999815,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,3.9749999999999943,4.049999999999994,fit_ci_plus_projection_boundaries_v1
central,1.15,70,18.72499999999999,300000,20266227,15.125,3.5999999999999908,3.5250000000000057,3.5999999999999908,1.4562304921968772,4.674999999999997,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,3.5250000000000057,3.5999999999999908,fit_ci_plus_projection_boundaries_v1
central,1.15,75,14.450000000000005,300000,20266227,11.450000000000005,3.0,2.9500000000000046,3.0,1.2135254101640613,3.9250000000000114,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,2.9500000000000046,3.0,fit_ci_plus_projection_boundaries_v1
central,1.15,80,10.625,300000,20266227,8.325000000000003,2.299999999999997,2.25,2.325000000000003,0.8904821928771542,3.075000000000003,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,2.25,2.325000000000003,fit_ci_plus_projection_boundaries_v1
central,1.15,85,7.450000000000003,300000,20266227,5.849999999999994,1.6000000000000085,1.5749999999999886,1.6000000000000085,0.587100840336139,2.200000000000003,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,1.5749999999999886,1.6000000000000085,fit_ci_plus_projection_boundaries_v1
central,1.15,90,5.025000000000006,300000,20266227,3.9749999999999943,1.0500000000000114,1.0,1.0750000000000028,0.3550720288115287,1.4749999999999943,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,1.0,1.0750000000000028,fit_ci_plus_projection_boundaries_v1
central,1.15,95,3.299999999999997,300000,20266227,2.75,0.5499999999999972,0.5499999999999972,0.625,0.17304321728691563,0.8500000000000085,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,0.5499999999999972,0.625,fit_ci_plus_projection_boundaries_v1
central,1.15,100,2.2249999999999943,300000,20266227,1.875,0.3499999999999943,0.3499999999999943,0.375,0.07669067627050483,0.5250000000000057,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,0.3499999999999943,0.375,fit_ci_plus_projection_boundaries_v1
central,1.2,60,29.27500000000001,300000,20266328,23.72499999999999,5.5500000000000185,5.474999999999991,5.5500000000000185,3.2329211684673655,5.5500000000000185,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,5.474999999999991,5.5500000000000185,fit_ci_plus_projection_boundaries_v1
central,1.2,65,24.47499999999999,300000,20266328,19.27500000000001,5.1999999999999815,5.125,5.1999999999999815,2.991906762705072,5.1999999999999815,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,5.125,5.1999999999999815,fit_ci_plus_projection_boundaries_v1
central,1.2,70,19.799999999999997,300000,20266328,15.125,4.674999999999997,4.599999999999994,4.674999999999997,2.6402160864345756,4.674999999999997,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,4.599999999999994,4.674999999999997,fit_ci_plus_projection_boundaries_v1
central,1.2,75,15.375,300000,20266328,11.450000000000005,3.9249999999999954,3.9000000000000057,3.9250000000000114,2.2028491396558603,3.9250000000000114,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,3.9000000000000057,3.9250000000000114,fit_ci_plus_projection_boundaries_v1
central,1.2,80,11.400000000000006,300000,20266328,8.325000000000003,3.075000000000003,3.0249999999999915,3.075000000000003,1.6458203281312422,3.075000000000003,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,3.0249999999999915,3.075000000000003,fit_ci_plus_projection_boundaries_v1
central,1.2,85,8.025000000000006,300000,20266328,5.849999999999994,2.1750000000000114,2.125,2.200000000000003,1.1227771108443365,2.200000000000003,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,2.125,2.200000000000003,fit_ci_plus_projection_boundaries_v1
central,1.2,90,5.400000000000006,300000,20266328,3.9749999999999943,1.4250000000000114,1.3999999999999915,1.4749999999999943,0.7247338935574262,1.4749999999999943,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,1.3999999999999915,1.4749999999999943,fit_ci_plus_projection_boundaries_v1
central,1.2,95,3.549999999999997,300000,20266328,2.75,0.7999999999999972,0.7750000000000057,0.8500000000000085,0.3927050820328216,0.8500000000000085,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,0.7750000000000057,0.8500000000000085,fit_ci_plus_projection_boundaries_v1
central,1.2,100,2.299999999999997,300000,20266328,1.875,0.42499999999999716,0.42499999999999716,0.5250000000000057,0.21236694677870746,0.5250000000000057,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,0.42499999999999716,0.5250000000000057,fit_ci_plus_projection_boundaries_v1
