curve_set,topic,group,label,n_bootstrap_usable,central_best_coordinate,central_best_coordinate_class,p_eta,p_beta,p_Xc,p_epsilon,p_h_ext,p_senogenic,p_robustness,p_extrinsic,central_distance_eta,central_distance_beta,central_distance_Xc,central_distance_epsilon,central_distance_h_ext,central_best_distance,central_second_distance,central_distance_margin
beta_low,alcohol,>4 drinks/day,>4 drinks/day,300,h_ext,extrinsic,0.0,0.0,0.06333333333333334,0.21666666666666667,0.72,0.0,0.28,0.72,0.20486831231275204,0.12811548636521827,0.0374965758431333,0.023759152896429717,0.016248926830219876,0.016248926830219876,0.023759152896429717,0.0075102260662098415
central,alcohol,>4 drinks/day,>4 drinks/day,300,epsilon,robustness,0.0,0.0,0.15,0.3933333333333333,0.45666666666666667,0.0,0.5433333333333333,0.45666666666666667,0.20265478096974962,0.12475090084684139,0.024658693038112543,0.008071676596179017,0.025672520336174114,0.008071676596179017,0.024658693038112543,0.016587016441933528
epsilon_high,alcohol,>4 drinks/day,>4 drinks/day,300,h_ext,extrinsic,0.0,0.0,0.08333333333333333,0.23666666666666666,0.68,0.0,0.32,0.68,0.19527270216198642,0.11823966153416614,0.03188971128173125,0.02065364568797705,0.018759518421896656,0.018759518421896656,0.02065364568797705,0.0018941272660803928
epsilon_low,alcohol,>4 drinks/day,>4 drinks/day,300,epsilon,robustness,0.0,0.0,0.26,0.5166666666666667,0.22333333333333333,0.0,0.7766666666666666,0.22333333333333333,0.20087628864185444,0.11638578346505425,0.012320764930683068,0.002372758737772629,0.031001591166091726,0.002372758737772629,0.012320764930683068,0.00994800619291044
eta_high,alcohol,>4 drinks/day,>4 drinks/day,300,epsilon,robustness,0.0,0.0,0.13333333333333333,0.37333333333333335,0.49333333333333335,0.0,0.5066666666666667,0.49333333333333335,0.212630439538225,0.12927629011261718,0.027572333950725482,0.008191400871935955,0.02473959784904787,0.008191400871935955,0.02473959784904787,0.016548196977111913
eta_low,alcohol,>4 drinks/day,>4 drinks/day,300,epsilon,robustness,0.0,0.0,0.14666666666666667,0.37333333333333335,0.48,0.0,0.52,0.48,0.20505023947663922,0.12278022755239974,0.0237968996936285,0.010128435498630538,0.02587459117611709,0.010128435498630538,0.0237968996936285,0.013668464194997964
xc_std_frac_high,alcohol,>4 drinks/day,>4 drinks/day,300,epsilon,robustness,0.0,0.0,0.15333333333333332,0.3466666666666667,0.5,0.0,0.5,0.5,0.20618823852304502,0.1264169948373126,0.022473345709501057,0.009376091588796523,0.023529237200922554,0.009376091588796523,0.022473345709501057,0.013097254120704534
xc_std_frac_low,alcohol,>4 drinks/day,>4 drinks/day,300,epsilon,robustness,0.0,0.0,0.13333333333333333,0.39666666666666667,0.47,0.0,0.53,0.47,0.20708207294771458,0.11986297975783786,0.025365005572428455,0.011739513012930141,0.02736149872271087,0.011739513012930141,0.025365005572428455,0.013625492559498313
mean_model_curve,physical_activity,No Activity,No Activity,300,epsilon,robustness,0.04666666666666667,0.08333333333333333,0.35333333333333333,0.32666666666666666,0.19,0.13,0.68,0.19,0.07342735899635996,0.04119770337671196,0.003185584524315398,0.0026555527764600797,0.014217406967242621,0.0026555527764600797,0.003185584524315398,0.0005300317478553183
Xc_high,physical_activity,No Activity,No Activity,300,Xc,robustness,0.04666666666666667,0.09,0.5166666666666667,0.29,0.056666666666666664,0.13666666666666666,0.8066666666666666,0.056666666666666664,0.0759628970107362,0.0389694542101388,0.0003195353635345051,0.006905408679724948,0.01566092857170287,0.0003195353635345051,0.006905408679724948,0.0065858733161904435
