topic,group,label,age,xc_factor,gain_years,gain_low,gain_high
physical_activity,No Activity,No Activity,90,0.9374149659863945,-0.42938102631489505,-0.6791649917786198,-0.12464697971912338
physical_activity,No Activity,No Activity,95,0.9374149659863945,-0.1669389134210345,-0.35256343870477125,-0.048222800278014316
physical_activity,No Activity,No Activity,100,0.9374149659863945,-0.1893865912156792,-0.36034836357845856,-0.04048903301554282
physical_activity,Some Activity,Some Activity,60,1.0753901560624248,2.315680936424618,0.22035584327266894,4.225408757748853
physical_activity,Some Activity,Some Activity,65,1.0753901560624248,2.1086645476558235,0.1980427353365903,3.928899847232776
physical_activity,Some Activity,Some Activity,70,1.0753901560624248,1.8808105450013597,0.17486346035289532,3.5104522453481737
physical_activity,Some Activity,Some Activity,75,1.0753901560624248,1.481245915546489,0.1375499933241032,2.918296923279743
physical_activity,Some Activity,Some Activity,80,1.0753901560624248,1.1263194887635284,0.10437884572965724,2.2797466034208718
physical_activity,Some Activity,Some Activity,85,1.0753901560624248,0.8012826847064246,0.06385966574223811,1.6175338082519646
physical_activity,Some Activity,Some Activity,90,1.0753901560624248,0.5155306511033628,0.0455385558955586,1.0044851106048378
physical_activity,Some Activity,Some Activity,95,1.0753901560624248,0.32806397877578347,0.026869131738953746,0.587160633355111
physical_activity,Some Activity,Some Activity,100,1.0753901560624248,0.15136549870629323,0.012160763513721548,0.2944404137167027
sleep_duration,1-<5 hours,1-5 h sleep,60,0.8359343737494997,-5.627060200383032,-8.13512968448033,-3.119665127739036
sleep_duration,1-<5 hours,1-5 h sleep,65,0.8359343737494997,-4.95274914287627,-7.040136228772805,-2.754651609291874
sleep_duration,1-<5 hours,1-5 h sleep,70,0.8359343737494997,-4.104102802936571,-5.7728756615586905,-2.3007202881152464
sleep_duration,1-<5 hours,1-5 h sleep,75,0.8359343737494997,-3.2669877714636857,-4.514284933674282,-1.8703333037208956
sleep_duration,1-<5 hours,1-5 h sleep,80,0.8359343737494997,-2.4137296016141794,-3.2133483232358637,-1.3849340645854424
sleep_duration,1-<5 hours,1-5 h sleep,85,0.8359343737494997,-1.576590636254506,-2.15337310346477,-0.9143874875175941
sleep_duration,1-<5 hours,1-5 h sleep,90,0.8359343737494997,-1.014031682860065,-1.4038131897769857,-0.6041351522331642
sleep_duration,1-<5 hours,1-5 h sleep,95,0.8359343737494997,-0.6545134078457645,-0.8190143396388399,-0.28762346187350984
sleep_duration,1-<5 hours,1-5 h sleep,100,0.8359343737494997,-0.4873747387576318,-0.5030911486758018,-0.32659766057805445
sleep_duration,5-<7 hours,5-7 h sleep,60,0.9659063625450179,-1.0956869521115695,-2.4407529515323967,0.3028158015125287
sleep_duration,5-<7 hours,5-7 h sleep,65,0.9659063625450179,-0.9806962260144051,-2.163653600079993,0.27218688381989503
sleep_duration,5-<7 hours,5-7 h sleep,70,0.9659063625450179,-0.853195006869047,-1.8287314925970406,0.2407534825553405
sleep_duration,5-<7 hours,5-7 h sleep,75,0.9659063625450179,-0.7190348953244572,-1.5062320453822267,0.18828390643938603
sleep_duration,5-<7 hours,5-7 h sleep,80,0.9659063625450179,-0.5313957245377103,-1.1138909492495024,0.14318451772218815
sleep_duration,5-<7 hours,5-7 h sleep,85,0.9659063625450179,-0.282744447912156,-0.6877724398478685,0.08808470857302332
sleep_duration,5-<7 hours,5-7 h sleep,90,0.9659063625450179,-0.24174318646194878,-0.493478201853112,0.062208613468180615
sleep_duration,5-<7 hours,5-7 h sleep,95,0.9659063625450179,-0.08384273140284591,-0.20683019379001363,0.03867192750762546
sleep_duration,5-<7 hours,5-7 h sleep,100,0.9659063625450179,-0.08660853917171994,-0.24150339797938963,0.016183417184063936
sleep_duration,7-<9 hours,7-9 h sleep,60,1.1026010404161664,3.0704472291802998,1.4229435893689355,4.67439227697989
sleep_duration,7-<9 hours,7-9 h sleep,65,1.1026010404161664,2.81679348999261,1.2857517372732066,4.353746613296415
sleep_duration,7-<9 hours,7-9 h sleep,70,1.1026010404161664,2.509699161216738,1.1506555437563837,3.8965582849666642
sleep_duration,7-<9 hours,7-9 h sleep,75,1.1026010404161664,2.027086587493435,0.8760828024736419,3.254341526108102
sleep_duration,7-<9 hours,7-9 h sleep,80,1.1026010404161664,1.5412171337706404,0.674542021776445,2.5405379437609703
sleep_duration,7-<9 hours,7-9 h sleep,85,1.1026010404161664,1.1296980068359412,0.445546180875202,1.8144168962417824
sleep_duration,7-<9 hours,7-9 h sleep,90,1.1026010404161664,0.7179057631937266,0.29047134137869407,1.1356829278826959
