factor,age,remaining_median,remaining_low,remaining_high,n,random_seed,baseline_remaining,baseline_low,baseline_high,gain_years,gain_low,gain_high
0.9,100,1.7249999999999943,1.5750000000000028,1.8499999999999943,100000,20265722,1.8499999999999943,1.75,1.9749999999999943,-0.125,-0.3999999999999915,0.09999999999999432
0.95,60,22.099999999999994,22.0,22.174999999999997,100000,20265823,23.825000000000003,23.724999999999994,23.900000000000006,-1.7250000000000085,-1.9000000000000057,-1.5499999999999972
0.95,65,17.799999999999997,17.724999999999994,17.900000000000006,100000,20265823,19.325000000000003,19.275000000000006,19.424999999999997,-1.5250000000000057,-1.7000000000000028,-1.375
0.95,70,13.875,13.799999999999997,13.950000000000003,100000,20265823,15.200000000000003,15.125,15.275000000000006,-1.3250000000000028,-1.4750000000000085,-1.1749999999999972
0.95,75,10.400000000000006,10.325000000000003,10.474999999999994,100000,20265823,11.474999999999994,11.400000000000006,11.549999999999997,-1.0749999999999886,-1.2249999999999943,-0.9250000000000114
0.95,80,7.575000000000003,7.525000000000006,7.650000000000006,100000,20265823,8.299999999999997,8.25,8.375,-0.7249999999999943,-0.8499999999999943,-0.5999999999999943
0.95,85,5.325000000000003,5.275000000000006,5.400000000000006,100000,20265823,5.849999999999994,5.775000000000006,5.900000000000006,-0.5249999999999915,-0.625,-0.375
0.95,90,3.6500000000000057,3.5999999999999943,3.7249999999999943,100000,20265823,4.025000000000006,3.9749999999999943,4.075000000000003,-0.375,-0.4750000000000085,-0.25
0.95,95,2.5999999999999943,2.5250000000000057,2.674999999999997,100000,20265823,2.674999999999997,2.5999999999999943,2.7249999999999943,-0.07500000000000284,-0.19999999999998863,0.07500000000000284
0.95,100,1.7249999999999943,1.5499999999999972,1.8499999999999943,100000,20265823,1.8499999999999943,1.75,1.9749999999999943,-0.125,-0.42499999999999716,0.09999999999999432
1.0,60,23.825000000000003,23.724999999999994,23.900000000000006,100000,20265924,23.825000000000003,23.724999999999994,23.900000000000006,0.0,-0.17500000000001137,0.17500000000001137
1.0,65,19.325000000000003,19.275000000000006,19.424999999999997,100000,20265924,19.325000000000003,19.275000000000006,19.424999999999997,0.0,-0.14999999999999147,0.14999999999999147
1.0,70,15.200000000000003,15.125,15.275000000000006,100000,20265924,15.200000000000003,15.125,15.275000000000006,0.0,-0.15000000000000568,0.15000000000000568
1.0,75,11.474999999999994,11.400000000000006,11.549999999999997,100000,20265924,11.474999999999994,11.400000000000006,11.549999999999997,0.0,-0.14999999999999147,0.14999999999999147
1.0,80,8.299999999999997,8.25,8.375,100000,20265924,8.299999999999997,8.25,8.375,0.0,-0.125,0.125
1.0,85,5.849999999999994,5.775000000000006,5.900000000000006,100000,20265924,5.849999999999994,5.775000000000006,5.900000000000006,0.0,-0.125,0.125
1.0,90,4.025000000000006,3.9749999999999943,4.075000000000003,100000,20265924,4.025000000000006,3.9749999999999943,4.075000000000003,0.0,-0.10000000000000853,0.10000000000000853
1.0,95,2.674999999999997,2.5999999999999943,2.7249999999999943,100000,20265924,2.674999999999997,2.5999999999999943,2.7249999999999943,0.0,-0.125,0.125
1.0,100,1.8499999999999943,1.75,1.9749999999999943,100000,20265924,1.8499999999999943,1.75,1.9749999999999943,0.0,-0.22499999999999432,0.22499999999999432
1.05,60,25.299999999999997,25.224999999999994,25.375,100000,20266025,23.825000000000003,23.724999999999994,23.900000000000006,1.4749999999999943,1.3249999999999886,1.6500000000000057
1.05,65,20.724999999999994,20.650000000000006,20.799999999999997,100000,20266025,19.325000000000003,19.275000000000006,19.424999999999997,1.3999999999999915,1.2250000000000085,1.5249999999999915
1.05,70,16.424999999999997,16.325000000000003,16.5,100000,20266025,15.200000000000003,15.125,15.275000000000006,1.2249999999999943,1.0499999999999972,1.375
1.05,75,12.474999999999994,12.424999999999997,12.525000000000006,100000,20266025,11.474999999999994,11.400000000000006,11.549999999999997,1.0,0.875,1.125
1.05,80,9.049999999999997,8.974999999999994,9.099999999999994,100000,20266025,8.299999999999997,8.25,8.375,0.75,0.5999999999999943,0.8499999999999943
1.05,85,6.349999999999994,6.299999999999997,6.400000000000006,100000,20266025,5.849999999999994,5.775000000000006,5.900000000000006,0.5,0.3999999999999915,0.625
1.05,90,4.299999999999997,4.25,4.375,100000,20266025,4.025000000000006,3.9749999999999943,4.075000000000003,0.2749999999999915,0.17499999999999716,0.4000000000000057
1.05,95,2.924999999999997,2.8499999999999943,3.0,100000,20266025,2.674999999999997,2.5999999999999943,2.7249999999999943,0.25,0.125,0.4000000000000057
1.05,100,2.0250000000000057,1.9249999999999972,2.0999999999999943,100000,20266025,1.8499999999999943,1.75,1.9749999999999943,0.17500000000001137,-0.04999999999999716,0.3499999999999943
1.1,60,26.724999999999994,26.650000000000006,26.799999999999997,100000,20266126,23.825000000000003,23.724999999999994,23.900000000000006,2.8999999999999915,2.75,3.075000000000003
1.1,65,22.049999999999997,21.974999999999994,22.125,100000,20266126,19.325000000000003,19.275000000000006,19.424999999999997,2.7249999999999943,2.549999999999997,2.8499999999999943
1.1,70,17.575000000000003,17.5,17.650000000000006,100000,20266126,15.200000000000003,15.125,15.275000000000006,2.375,2.2249999999999943,2.5250000000000057
1.1,75,13.474999999999994,13.400000000000006,13.549999999999997,100000,20266126,11.474999999999994,11.400000000000006,11.549999999999997,2.0,1.8500000000000085,2.1499999999999915
1.1,80,9.900000000000006,9.825000000000003,9.950000000000003,100000,20266126,8.299999999999997,8.25,8.375,1.6000000000000085,1.4500000000000028,1.7000000000000028
1.1,85,6.924999999999997,6.849999999999994,6.974999999999994,100000,20266126,5.849999999999994,5.775000000000006,5.900000000000006,1.0750000000000028,0.9499999999999886,1.1999999999999886
1.1,90,4.674999999999997,4.625,4.724999999999994,100000,20266126,4.025000000000006,3.9749999999999943,4.075000000000003,0.6499999999999915,0.5499999999999972,0.75
1.1,95,3.125,3.075000000000003,3.200000000000003,100000,20266126,2.674999999999997,2.5999999999999943,2.7249999999999943,0.45000000000000284,0.3500000000000085,0.6000000000000085
1.1,100,2.049999999999997,1.9749999999999943,2.125,100000,20266126,1.8499999999999943,1.75,1.9749999999999943,0.20000000000000284,0.0,0.375
1.15,60,28.025000000000006,27.950000000000003,28.125,100000,20266227,23.825000000000003,23.724999999999994,23.900000000000006,4.200000000000003,4.049999999999997,4.400000000000006
1.15,65,23.299999999999997,23.224999999999994,23.375,100000,20266227,19.325000000000003,19.275000000000006,19.424999999999997,3.9749999999999943,3.799999999999997,4.099999999999994
1.15,70,18.724999999999994,18.650000000000006,18.799999999999997,100000,20266227,15.200000000000003,15.125,15.275000000000006,3.5249999999999915,3.375,3.674999999999997
1.15,75,14.450000000000003,14.375,14.525000000000006,100000,20266227,11.474999999999994,11.400000000000006,11.549999999999997,2.9750000000000085,2.825000000000003,3.125
1.15,80,10.650000000000006,10.575000000000003,10.700000000000003,100000,20266227,8.299999999999997,8.25,8.375,2.3500000000000085,2.200000000000003,2.450000000000003
1.15,85,7.474999999999994,7.400000000000006,7.525000000000006,100000,20266227,5.849999999999994,5.775000000000006,5.900000000000006,1.625,1.5,1.75
1.15,90,5.025000000000006,4.974999999999994,5.099999999999994,100000,20266227,4.025000000000006,3.9749999999999943,4.075000000000003,1.0,0.8999999999999915,1.125
1.15,95,3.4000000000000057,3.3499999999999943,3.450000000000003,100000,20266227,2.674999999999997,2.5999999999999943,2.7249999999999943,0.7250000000000085,0.625,0.8500000000000085
1.15,100,2.174999999999997,2.0999999999999943,2.2249999999999943,100000,20266227,1.8499999999999943,1.75,1.9749999999999943,0.32500000000000284,0.125,0.4749999999999943
1.2,60,29.25,29.174999999999997,29.299999999999997,100000,20266328,23.825000000000003,23.724999999999994,23.900000000000006,5.424999999999997,5.2749999999999915,5.575000000000003
1.2,65,24.424999999999997,24.349999999999994,24.474999999999994,100000,20266328,19.325000000000003,19.275000000000006,19.424999999999997,5.099999999999994,4.924999999999997,5.199999999999989
1.2,70,19.75,19.674999999999997,19.825000000000003,100000,20266328,15.200000000000003,15.125,15.275000000000006,4.549999999999997,4.3999999999999915,4.700000000000003
1.2,75,15.349999999999994,15.275000000000006,15.424999999999997,100000,20266328,11.474999999999994,11.400000000000006,11.549999999999997,3.875,3.7250000000000085,4.0249999999999915
1.2,80,11.349999999999994,11.299999999999997,11.424999999999997,100000,20266328,8.299999999999997,8.25,8.375,3.049999999999997,2.924999999999997,3.174999999999997
1.2,85,8.0,7.924999999999997,8.049999999999997,100000,20266328,5.849999999999994,5.775000000000006,5.900000000000006,2.1500000000000057,2.0249999999999915,2.2749999999999915
1.2,90,5.400000000000006,5.325000000000003,5.450000000000003,100000,20266328,4.025000000000006,3.9749999999999943,4.075000000000003,1.375,1.25,1.4750000000000085
1.2,95,3.549999999999997,3.5,3.5999999999999943,100000,20266328,2.674999999999997,2.5999999999999943,2.7249999999999943,0.875,0.7750000000000057,1.0
1.2,100,2.299999999999997,2.2249999999999943,2.375,100000,20266328,1.8499999999999943,1.75,1.9749999999999943,0.45000000000000284,0.25,0.625
