topic,group,label,x,y,log_median,log_steepness,n_bootstrap_usable,central_best_coordinate,central_best_coordinate_class,central_best_distance,central_second_distance,central_distance_margin,central_distance_eta,central_distance_beta,central_distance_Xc,central_distance_epsilon,central_distance_h_ext,p_eta,p_beta,p_Xc,p_epsilon,p_h_ext,p_senogenic,p_robustness,p_extrinsic,n_curve_sets,p_eta_min,p_beta_min,p_Xc_min,p_epsilon_min,p_h_ext_min,p_eta_max,p_beta_max,p_Xc_max,p_epsilon_max,p_h_ext_max,p_senogenic_min,p_senogenic_max,p_robustness_min,p_robustness_max,p_extrinsic_min,p_extrinsic_max,central_distance_eta_min,central_distance_beta_min,central_distance_Xc_min,central_distance_epsilon_min,central_distance_h_ext_min,central_distance_eta_max,central_distance_beta_max,central_distance_Xc_max,central_distance_epsilon_max,central_distance_h_ext_max,central_best_coordinate_display,p_m_ex,p_m_ex_min,p_m_ex_max,central_distance_m_ex,central_distance_m_ex_min,central_distance_m_ex_max
physical_activity,No Activity,No Activity,0.9774515897269906,0.9289410874791236,-0.02280651292496717,-0.07370995716391066,300,epsilon,robustness,0.0026555527764600797,0.003185584524315398,0.0005300317478553183,0.07342735899635996,0.04119770337671196,0.003185584524315398,0.0026555527764600797,0.014217406967242621,0.04666666666666667,0.08333333333333333,0.35333333333333333,0.32666666666666666,0.19,0.13,0.68,0.19,11,0.03666666666666667,0.06333333333333334,0.17333333333333334,0.2833333333333333,0.04,0.056666666666666664,0.09666666666666666,0.5333333333333333,0.35333333333333333,0.38666666666666666,0.10333333333333333,0.14333333333333334,0.49,0.82,0.04,0.38666666666666666,0.06220624884287565,0.03691828419895708,0.0003195353635345051,0.00022856391157272755,0.010948607219555064,0.08109950768794184,0.04563900734527025,0.008897202762005972,0.007415609239322973,0.01656942354909905,ε,0.19,0.04,0.38666666666666666,0.014217406967242621,0.010948607219555064,0.01656942354909905
physical_activity,Some Activity,Some Activity,1.050760458956515,1.1234381276700651,0.04951414865465894,0.1163937400720989,300,Xc,robustness,0.010399398299656191,0.019556498935514068,0.009157100635857876,0.12206392157327581,0.05696288185827609,0.010399398299656191,0.019556498935514068,0.13486670678626925,0.023333333333333334,0.16,0.6433333333333333,0.17333333333333334,0.0,0.18333333333333332,0.8166666666666667,0.0,11,0.02,0.11666666666666667,0.4266666666666667,0.02666666666666667,0.0,0.023333333333333334,0.20666666666666667,0.7833333333333333,0.43666666666666665,0.0,0.13666666666666666,0.23,0.77,0.8633333333333333,0.0,0.0,0.11377124381589401,0.05132937884243311,0.002309923156734866,0.009238463798098867,0.12251633683762893,0.13516424682922595,0.06464128787845218,0.017924009147132637,0.027338349536089046,0.1439399102292473,Xc,0.0,0.0,0.0,0.13486670678626925,0.12251633683762893,0.1439399102292473
sleep_duration,1-<5 hours,1-5 h sleep,0.9652334448554033,0.7505421740882464,-0.03538529513182725,-0.286959434832922,300,h_ext,extrinsic,0.003034474392189719,0.05090763449575159,0.04787316010356187,0.28695293308121606,0.19514152362682022,0.06951059669512868,0.05090763449575159,0.003034474392189719,0.0033333333333333335,0.0,0.03,0.11666666666666667,0.85,0.0033333333333333335,0.14666666666666667,0.85,11,0.0,0.0,0.006666666666666667,0.03,0.6066666666666667,0.0033333333333333335,0.0033333333333333335,0.06333333333333334,0.32666666666666666,0.96,0.0,0.0033333333333333335,0.03666666666666667,0.39,0.6066666666666667,0.96,0.2750504299701055,0.18813951188473163,0.05154075166830494,0.030212147817556895,0.00104312063215244,0.294685158087864,0.20132362514929408,0.09253484431437162,0.07970263892314773,0.016206542926879026,m_ex,0.85,0.6066666666666667,0.96,0.003034474392189719,0.00104312063215244,0.016206542926879026
sleep_duration,5-<7 hours,5-7 h sleep,1.0141060243417528,0.9637763782595906,0.014007460197749136,-0.03689598404119449,300,h_ext,extrinsic,0.017882585596326193,0.02320440767579814,0.005321822079471947,0.03359494424920734,0.0375132802837484,0.025627575786575017,0.02320440767579814,0.017882585596326193,0.13,0.06333333333333334,0.04666666666666667,0.02666666666666667,0.7333333333333333,0.19333333333333333,0.07333333333333333,0.7333333333333333,11,0.09666666666666666,0.02666666666666667,0.02,0.023333333333333334,0.6433333333333333,0.17,0.09666666666666666,0.06333333333333334,0.06666666666666667,0.8,0.12333333333333334,0.26666666666666666,0.06,0.09,0.6433333333333333,0.8,0.02090070885453711,0.03342233099988196,0.022772705399758654,0.021285546379925434,0.016047483314508684,0.043115512616430374,0.04287320951809848,0.02878863960627642,0.02450236457809696,0.020680032960026205,m_ex,0.7333333333333333,0.6433333333333333,0.8,0.017882585596326193,0.016047483314508684,0.020680032960026205
sleep_duration,7-<9 hours,7-9 h sleep,1.0263241692133402,1.1704657702236956,0.0259836512444649,0.15740176379947582,300,epsilon,robustness,0.012710158173894858,0.024427069559908282,0.011716911386013424,0.16102862835200937,0.10344460231316427,0.024427069559908282,0.012710158173894858,0.1681957567214057,0.0,0.0,0.09,0.91,0.0,0.0,1.0,0.0,11,0.0,0.0,0.03,0.81,0.0,0.0,0.0033333333333333335,0.18666666666666668,0.97,0.0,0.0,0.0033333333333333335,0.9966666666666667,1.0,0.0,0.0,0.15139005382449322,0.09759650903450263,0.01581276184376564,0.0025106806670677126,0.15499161545342538,0.17349591804216283,0.1114057059324783,0.034714053811716224,0.02553059416594938,0.17773494619813612,ε,0.0,0.0,0.0,0.1681957567214057,0.15499161545342538,0.17773494619813612
sleep_duration,>=9 hours,>=9 h sleep,0.953015299983816,0.7410416402390281,-0.04812432090925697,-0.2996984606103518,300,h_ext,extrinsic,0.014221035164691162,0.04319542676556986,0.028974391600878696,0.30077463955455624,0.19676816990327756,0.0628751613292251,0.04319542676556986,0.014221035164691162,0.0,0.0,0.03,0.19333333333333333,0.7766666666666666,0.0,0.22333333333333333,0.7766666666666666,11,0.0,0.0,0.01,0.04,0.37,0.0,0.0,0.1,0.5333333333333333,0.95,0.0,0.0,0.05,0.63,0.37,0.95,0.28940881710499217,0.19010060621978764,0.04369357130519415,0.02141817762122497,0.0004841119053127934,0.3078839068482953,0.2043195446503744,0.08766914149699578,0.07388577278751597,0.023096194431767917,m_ex,0.7766666666666666,0.37,0.95,0.014221035164691162,0.0004841119053127934,0.023096194431767917
sleep_frailty,Q1 (lowest),Q1 sleep frailty,1.0141060243417528,1.0842484255420395,0.014007460197749136,0.080887051615189,300,epsilon,robustness,0.006513326925477763,0.01237840671365975,0.005865079788181986,0.08378153897640163,0.05255596628065386,0.01237840671365975,0.006513326925477763,0.09075283595718128,0.06333333333333334,0.04666666666666667,0.11333333333333333,0.73,0.04666666666666667,0.11,0.8433333333333334,0.04666666666666667,11,0.04,0.04666666666666667,0.06666666666666667,0.68,0.023333333333333334,0.08,0.08,0.14333333333333334,0.79,0.06666666666666667,0.1,0.15,0.8066666666666666,0.8633333333333333,0.023333333333333334,0.06666666666666667,0.07417863650501201,0.046871630064098654,0.006952476545584946,0.001486663120416845,0.07757552177547686,0.09608925297464872,0.05803199773976533,0.01749842235765048,0.013938613394782766,0.10028864245079715,ε,0.04666666666666667,0.023333333333333334,0.06666666666666667,0.09075283595718128,0.07757552177547686,0.10028864245079715
sleep_frailty,Q4 (highest),Q4 sleep frailty,0.9896697345985781,0.8061881580622394,-0.010383992926409943,-0.2154381169926118,300,h_ext,extrinsic,0.013636992768478037,0.05125205649901698,0.03761506373053894,0.21354524698189753,0.1565423350396014,0.06512291868789694,0.05125205649901698,0.013636992768478037,0.0,0.0,0.0,0.01,0.99,0.0,0.01,0.99,11,0.0,0.0,0.0,0.0,0.9733333333333334,0.0,0.0,0.0,0.02666666666666667,1.0,0.0,0.0,0.0,0.02666666666666667,0.9733333333333334,1.0,0.2010443973294798,0.14948374199149186,0.051578861777347544,0.03593738917378374,0.007509334950637456,0.22199962683358304,0.16215641616303036,0.08096269337798276,0.07179472560816226,0.027400952523886173,m_ex,0.99,0.9733333333333334,1.0,0.013636992768478037,0.007509334950637456,0.027400952523886173
church_frequency,never,never,0.9774515897269906,0.9835846808602485,-0.02280651292496717,-0.016551543323962057,300,beta,senogenic,0.0019503719508920027,0.015829813619957365,0.013879441669065361,0.016498437019369358,0.0019503719508920027,0.015829813619957365,0.017606627439667236,0.020723506975434337,0.20666666666666667,0.23,0.25,0.29,0.023333333333333334,0.43666666666666665,0.54,0.023333333333333334,11,0.16333333333333333,0.21666666666666667,0.18333333333333332,0.21666666666666667,0.013333333333333334,0.22,0.2733333333333333,0.31333333333333335,0.36666666666666664,0.06,0.4166666666666667,0.48,0.49666666666666665,0.5666666666666667,0.013333333333333334,0.06,0.005904255727868436,0.0004295698588603873,0.012534305893712886,0.016469590535332035,0.019307588604932226,0.023990214207152437,0.005831532705131795,0.018653462143944123,0.019452593329542925,0.021421858293223444,β,0.023333333333333334,0.013333333333333334,0.06,0.020723506975434337,0.019307588604932226,0.021421858293223444
church_frequency,sometimes,sometimes,1.0141060243417528,1.020469106392508,0.014007460197749136,0.020262429798754387,300,beta,senogenic,0.006042639911142868,0.006961663159526858,0.0009190232483839902,0.02336857268127013,0.006042639911142868,0.006961663159526858,0.008576434476500683,0.032597729039651545,0.10333333333333333,0.10666666666666667,0.16333333333333333,0.41,0.21666666666666667,0.21,0.5733333333333334,0.21666666666666667,11,0.08333333333333333,0.09,0.09666666666666666,0.3466666666666667,0.18666666666666668,0.11333333333333333,0.14,0.21,0.5066666666666667,0.24333333333333335,0.18333333333333332,0.25,0.5266666666666666,0.6033333333333334,0.18666666666666668,0.24333333333333335,0.01372890125822594,0.00033189598369662884,0.004241893363518881,0.004981496387668823,0.021567092307111724,0.03590095330130754,0.009737362372359462,0.010812582156643885,0.010394232095991166,0.041474403783493714,β,0.21666666666666667,0.18666666666666668,0.24333333333333335,0.032597729039651545,0.021567092307111724,0.041474403783493714
church_frequency,weekly,weekly,1.0385423140849277,1.1843998865358827,0.037818108891467805,0.16923622144647887,300,epsilon,robustness,0.003815522855569437,0.01667087613440082,0.012855353278831385,0.1737929150828092,0.10469459081771554,0.01667087613440082,0.003815522855569437,0.18204763362412874,0.03666666666666667,0.07333333333333333,0.24333333333333335,0.6366666666666667,0.01,0.11,0.88,0.01,11,0.03333333333333333,0.056666666666666664,0.16,0.43666666666666665,0.0033333333333333335,0.043333333333333335,0.09333333333333334,0.42333333333333334,0.7366666666666667,0.02666666666666667,0.1,0.12666666666666668,0.8566666666666667,0.8966666666666666,0.0033333333333333335,0.02666666666666667,0.16438418731287455,0.09879134340684226,0.0072146670620534875,0.00037252039221505985,0.16897851650610352,0.18659688759332232,0.11316552016790493,0.028147599089940672,0.017799631668236175,0.1915129123318252,ε,0.01,0.0033333333333333335,0.02666666666666667,0.18204763362412874,0.16897851650610352,0.1915129123318252
education_level,no highschool,no high school,0.9774515897269906,0.8360469787312113,-0.02280651292496717,-0.17907047282173696,300,h_ext,extrinsic,0.0028302822745807396,0.027998271732120585,0.025167989457539845,0.1783763807298209,0.12081645485044956,0.04014742218354256,0.027998271732120585,0.0028302822745807396,0.0,0.0,0.0,0.07333333333333333,0.9266666666666666,0.0,0.07333333333333333,0.9266666666666666,11,0.0,0.0,0.0,0.01,0.73,0.0,0.0,0.03,0.24666666666666667,0.99,0.0,0.0,0.01,0.27,0.73,0.99,0.16644018219715492,0.11414308987091765,0.027873439610044393,0.015527685582601813,0.001077150437486852,0.18635864186844,0.12632094770218977,0.05347710639307466,0.04551745347035761,0.00848828305688903,m_ex,0.9266666666666666,0.73,0.99,0.0028302822745807396,0.001077150437486852,0.00848828305688903
education_level,some college,some college,1.0263241692133402,1.0973116595847148,0.0259836512444649,0.0928632426619048,300,epsilon,robustness,0.002225524757943431,0.004745070162594002,0.002519545404650571,0.09670936396295067,0.054084315599459754,0.004745070162594002,0.002225524757943431,0.10502159780866507,0.0,0.016666666666666666,0.41,0.5733333333333334,0.0,0.016666666666666666,0.9833333333333333,0.0,11,0.0,0.01,0.17,0.28,0.0,0.0033333333333333335,0.02666666666666667,0.6966666666666667,0.82,0.0,0.01,0.02666666666666667,0.9733333333333334,0.99,0.0,0.0,0.08716031731140844,0.04846620649711876,0.0007031987663092099,0.0016259436683809393,0.09212706170145087,0.10938991208584885,0.06035426042807639,0.010846570571833195,0.008178814553822297,0.11441176786842176,ε,0.0,0.0,0.0,0.10502159780866507,0.09212706170145087,0.11441176786842176
