topic,group,label,n_curve_sets,p_eta_min,p_eta_max,central_distance_eta_min,central_distance_eta_max,p_beta_min,p_beta_max,central_distance_beta_min,central_distance_beta_max,p_Xc_min,p_Xc_max,central_distance_Xc_min,central_distance_Xc_max,p_epsilon_min,p_epsilon_max,central_distance_epsilon_min,central_distance_epsilon_max,p_h_ext_min,p_h_ext_max,central_distance_h_ext_min,central_distance_h_ext_max,p_senogenic_min,p_senogenic_max,p_robustness_min,p_robustness_max,p_extrinsic_min,p_extrinsic_max,central_curve_best
sleep_duration,5-<7 hours,5-7 h sleep,11,0.09666666666666666,0.17,0.02090070885453711,0.043115512616430374,0.02666666666666667,0.09666666666666666,0.03342233099988196,0.04287320951809848,0.02,0.06333333333333334,0.022772705399758654,0.02878863960627642,0.023333333333333334,0.06666666666666667,0.021285546379925434,0.02450236457809696,0.6433333333333333,0.8,0.016047483314508684,0.020680032960026205,0.12333333333333334,0.26666666666666666,0.06,0.09,0.6433333333333333,0.8,h_ext
sleep_duration,7-<9 hours,7-9 h sleep,11,0.0,0.0,0.15139005382449322,0.17349591804216283,0.0,0.0033333333333333335,0.09759650903450263,0.1114057059324783,0.03,0.18666666666666668,0.01581276184376564,0.034714053811716224,0.81,0.97,0.0025106806670677126,0.02553059416594938,0.0,0.0,0.15499161545342538,0.17773494619813612,0.0,0.0033333333333333335,0.9966666666666667,1.0,0.0,0.0,epsilon
sleep_duration,>=9 hours,>=9 h sleep,11,0.0,0.0,0.28940881710499217,0.3078839068482953,0.0,0.0,0.19010060621978764,0.2043195446503744,0.01,0.1,0.04369357130519415,0.08766914149699578,0.04,0.5333333333333333,0.02141817762122497,0.07388577278751597,0.37,0.95,0.0004841119053127934,0.023096194431767917,0.0,0.0,0.05,0.63,0.37,0.95,h_ext
sleep_frailty,Q1 (lowest),Q1 sleep frailty,11,0.04,0.08,0.07417863650501201,0.09608925297464872,0.04666666666666667,0.08,0.046871630064098654,0.05803199773976533,0.06666666666666667,0.14333333333333334,0.006952476545584946,0.01749842235765048,0.68,0.79,0.001486663120416845,0.013938613394782766,0.023333333333333334,0.06666666666666667,0.07757552177547686,0.10028864245079715,0.1,0.15,0.8066666666666666,0.8633333333333333,0.023333333333333334,0.06666666666666667,epsilon
sleep_frailty,Q4 (highest),Q4 sleep frailty,11,0.0,0.0,0.2010443973294798,0.22199962683358304,0.0,0.0,0.14948374199149186,0.16215641616303036,0.0,0.0,0.051578861777347544,0.08096269337798276,0.0,0.02666666666666667,0.03593738917378374,0.07179472560816226,0.9733333333333334,1.0,0.007509334950637456,0.027400952523886173,0.0,0.0,0.0,0.02666666666666667,0.9733333333333334,1.0,h_ext
church_frequency,never,never,11,0.16333333333333333,0.22,0.005904255727868436,0.023990214207152437,0.21666666666666667,0.2733333333333333,0.0004295698588603873,0.005831532705131795,0.18333333333333332,0.31333333333333335,0.012534305893712886,0.018653462143944123,0.21666666666666667,0.36666666666666664,0.016469590535332035,0.019452593329542925,0.013333333333333334,0.06,0.019307588604932226,0.021421858293223444,0.4166666666666667,0.48,0.49666666666666665,0.5666666666666667,0.013333333333333334,0.06,beta
church_frequency,sometimes,sometimes,11,0.08333333333333333,0.11333333333333333,0.01372890125822594,0.03590095330130754,0.09,0.14,0.00033189598369662884,0.009737362372359462,0.09666666666666666,0.21,0.004241893363518881,0.010812582156643885,0.3466666666666667,0.5066666666666667,0.004981496387668823,0.010394232095991166,0.18666666666666668,0.24333333333333335,0.021567092307111724,0.041474403783493714,0.18333333333333332,0.25,0.5266666666666666,0.6033333333333334,0.18666666666666668,0.24333333333333335,beta
church_frequency,weekly,weekly,11,0.03333333333333333,0.043333333333333335,0.16438418731287455,0.18659688759332232,0.056666666666666664,0.09333333333333334,0.09879134340684226,0.11316552016790493,0.16,0.42333333333333334,0.0072146670620534875,0.028147599089940672,0.43666666666666665,0.7366666666666667,0.00037252039221505985,0.017799631668236175,0.0033333333333333335,0.02666666666666667,0.16897851650610352,0.1915129123318252,0.1,0.12666666666666668,0.8566666666666667,0.8966666666666666,0.0033333333333333335,0.02666666666666667,epsilon
education_level,no highschool,no high school,11,0.0,0.0,0.16644018219715492,0.18635864186844,0.0,0.0,0.11414308987091765,0.12632094770218977,0.0,0.03,0.027873439610044393,0.05347710639307466,0.01,0.24666666666666667,0.015527685582601813,0.04551745347035761,0.73,0.99,0.001077150437486852,0.00848828305688903,0.0,0.0,0.01,0.27,0.73,0.99,h_ext
education_level,some college,some college,11,0.0,0.0033333333333333335,0.08716031731140844,0.10938991208584885,0.01,0.02666666666666667,0.04846620649711876,0.06035426042807639,0.17,0.6966666666666667,0.0007031987663092099,0.010846570571833195,0.28,0.82,0.0016259436683809393,0.008178814553822297,0.0,0.0,0.09212706170145087,0.11441176786842176,0.01,0.02666666666666667,0.9733333333333334,0.99,0.0,0.0,epsilon
