parameter,age,mortality_rate
beta,39.5,0.0027333992028903994
beta,40.5,0.002987423688902896
beta,41.5,0.003260114232410401
beta,42.5,0.00355362857244498
beta,43.5,0.0038693573210232344
beta,44.5,0.004208601975234211
beta,45.5,0.004573029526961837
beta,46.5,0.004964373765228373
beta,47.5,0.0053838705654237606
beta,48.5,0.005832048623839677
beta,49.5,0.006308796477800856
beta,50.5,0.006813785158317315
beta,51.5,0.007347150311787091
beta,52.5,0.007909065625457649
beta,53.5,0.008498021813198357
beta,54.5,0.00911057114306069
beta,55.5,0.009744339585711286
beta,56.5,0.010401120010721472
beta,57.5,0.011085986194722635
beta,58.5,0.011803839449236568
beta,59.5,0.012557627851002348
beta,60.5,0.013348778929840524
beta,61.5,0.014177155616111587
beta,62.5,0.015040271974743896
beta,63.5,0.015933624258537945
beta,64.5,0.01685312021859009
beta,65.5,0.01779816321510643
beta,66.5,0.018772671049657748
beta,67.5,0.019782375318075772
beta,68.5,0.020830382569088687
beta,69.5,0.02191432998680084
beta,70.5,0.023026837435199177
beta,71.5,0.024159245166727805
beta,72.5,0.02530708826192249
beta,73.5,0.026473930971332674
beta,74.5,0.02766959572962578
beta,75.5,0.028902992608811358
beta,76.5,0.030174820145426086
beta,77.5,0.031475440618888684
beta,78.5,0.03278992137873196
beta,79.5,0.03410716679072181
beta,80.5,0.03542598179534533
beta,81.5,0.03675236169813255
beta,82.5,0.038093661104973184
beta,83.5,0.0394587038175653
beta,84.5,0.040860045179960794
beta,85.5,0.04230749631351793
beta,86.5,0.043798311153720196
beta,87.5,0.04531966470745858
beta,88.5,0.046862679375345086
beta,89.5,0.04842884346614018
beta,90.5,0.050021630690195995
beta,91.5,0.05163924314455423
beta,92.5,0.0532798375788289
beta,93.5,0.05494874476481426
beta,94.5,0.056653442718754485
beta,95.5,0.058391357207596944
beta,96.5,0.06014661392917942
beta,97.5,0.06189993965064387
beta,98.5,0.06363906926894944
beta,99.5,0.06535663199266559
beta,100.5,0.06704001829143168
beta,101.5,0.06867251890774842
beta,102.5,0.07025254707059253
beta,103.5,0.07180824678003733
beta,104.5,0.07338210579338432
beta,105.5,0.07499774053150754
beta,106.5,0.07664658809337654
beta,107.5,0.07830885140991452
beta,108.5,0.07998500532534789
beta,109.5,0.08170650004558161
beta,110.5,0.08351560957012633
beta,111.5,0.08543053293001654
beta,112.5,0.08742066705910922
beta,113.5,0.08940807575359622
beta,114.5,0.09129432748223351
beta,115.5,0.09300325394011386
beta,116.5,0.09452283408477147
beta,117.5,0.09591634519584667
beta,118.5,0.09727403456946894
beta,119.5,0.09862503723376151
beta,120.5,0.09988907802737487
