parameter,parameter_label,allowed_slope_distortion_fraction,allowed_parameter_cv,tau_ref,scale
eta,$\eta$,0.37405622489959844,0.05548560224767159,98.61640439041227,9.0
eta,$\eta$,0.3760240963855422,0.05563136282639639,98.61640439041227,9.0
eta,$\eta$,0.377991967871486,0.055776742492346196,98.61640439041227,9.0
eta,$\eta$,0.3799598393574297,0.05592174421629602,98.61640439041227,9.0
eta,$\eta$,0.3819277108433735,0.056066370930604896,98.61640439041227,9.0
eta,$\eta$,0.3838955823293173,0.05621062552990776,98.61640439041227,9.0
eta,$\eta$,0.38586345381526105,0.05635451087179141,98.61640439041227,9.0
eta,$\eta$,0.38783132530120484,0.05649802977745504,98.61640439041227,9.0
eta,$\eta$,0.38979919678714864,0.056641185032355525,98.61640439041227,9.0
eta,$\eta$,0.3917670682730924,0.056783979386838296,98.61640439041227,9.0
eta,$\eta$,0.3937349397590362,0.056926415556753755,98.61640439041227,9.0
eta,$\eta$,0.39570281124497997,0.057068496224060045,98.61640439041227,9.0
eta,$\eta$,0.3976706827309237,0.05721022403741219,98.61640439041227,9.0
eta,$\eta$,0.3996385542168675,0.057351601612738196,98.61640439041227,9.0
eta,$\eta$,0.40160642570281124,0.057492631533802435,98.61640439041227,9.0
eta,$\eta$,0.40357429718875504,0.05763331635275654,98.61640439041227,9.0
eta,$\eta$,0.40554216867469883,0.057773658590678276,98.61640439041227,9.0
eta,$\eta$,0.4075100401606426,0.057913660738098685,98.61640439041227,9.0
eta,$\eta$,0.40947791164658637,0.058053325255517735,98.61640439041227,9.0
eta,$\eta$,0.41144578313253016,0.05819265457390884,98.61640439041227,9.0
eta,$\eta$,0.4134136546184739,0.05833165109521256,98.61640439041227,9.0
eta,$\eta$,0.4153815261044177,0.05847031719281975,98.61640439041227,9.0
eta,$\eta$,0.4173493975903615,0.05860865521204434,98.61640439041227,9.0
eta,$\eta$,0.41931726907630523,0.05874666747058621,98.61640439041227,9.0
eta,$\eta$,0.421285140562249,0.0588843562589842,98.61640439041227,9.0
eta,$\eta$,0.4232530120481928,0.05902172384105967,98.61640439041227,9.0
eta,$\eta$,0.42522088353413656,0.059158772454350764,98.61640439041227,9.0
eta,$\eta$,0.42718875502008036,0.059295504310537664,98.61640439041227,9.0
eta,$\eta$,0.4291566265060241,0.059431921595859,98.61640439041227,9.0
eta,$\eta$,0.4311244979919679,0.05956802647151968,98.61640439041227,9.0
eta,$\eta$,0.4330923694779117,0.05970382107409048,98.61640439041227,9.0
eta,$\eta$,0.4350602409638554,0.05983930751589919,98.61640439041227,9.0
eta,$\eta$,0.4370281124497992,0.059974487885414166,98.61640439041227,9.0
eta,$\eta$,0.438995983935743,0.06010936424761976,98.61640439041227,9.0
eta,$\eta$,0.44096385542168676,0.060243938644384536,98.61640439041227,9.0
eta,$\eta$,0.44293172690763055,0.06037821309482178,98.61640439041227,9.0
eta,$\eta$,0.44489959839357435,0.060512189595643036,98.61640439041227,9.0
eta,$\eta$,0.4468674698795181,0.060645870121504464,98.61640439041227,9.0
eta,$\eta$,0.4488353413654619,0.06077925662534652,98.61640439041227,9.0
eta,$\eta$,0.4508032128514057,0.060912351038726685,98.61640439041227,9.0
eta,$\eta$,0.4527710843373494,0.061045155272145935,98.61640439041227,9.0
eta,$\eta$,0.4547389558232932,0.061177671215368656,98.61640439041227,9.0
eta,$\eta$,0.45670682730923695,0.06130990073773637,98.61640439041227,9.0
eta,$\eta$,0.45867469879518075,0.061441845688475424,98.61640439041227,9.0
eta,$\eta$,0.46064257028112454,0.061573507896998746,98.61640439041227,9.0
eta,$\eta$,0.4626104417670683,0.061704889173201716,98.61640439041227,9.0
eta,$\eta$,0.4645783132530121,0.061835991307752525,98.61640439041227,9.0
eta,$\eta$,0.46654618473895587,0.061966816072376876,98.61640439041227,9.0
eta,$\eta$,0.4685140562248996,0.06209736522013736,98.61640439041227,9.0
eta,$\eta$,0.4704819277108434,0.06222764048570752,98.61640439041227,9.0
eta,$\eta$,0.4724497991967872,0.06235764358564076,98.61640439041227,9.0
eta,$\eta$,0.47441767068273094,0.0624873762186343,98.61640439041227,9.0
eta,$\eta$,0.47638554216867474,0.06261684006578809,98.61640439041227,9.0
eta,$\eta$,0.4783534136546185,0.06274603679085894,98.61640439041227,9.0
eta,$\eta$,0.48032128514056227,0.06287496804051007,98.61640439041227,9.0
eta,$\eta$,0.48228915662650607,0.06300363544455592,98.61640439041227,9.0
eta,$\eta$,0.4842570281124498,0.0631320406162025,98.61640439041227,9.0
eta,$\eta$,0.4862248995983936,0.06326018515228345,98.61640439041227,9.0
eta,$\eta$,0.4881927710843374,0.06338807063349161,98.61640439041227,9.0
eta,$\eta$,0.49016064257028114,0.06351569862460667,98.61640439041227,9.0
eta,$\eta$,0.49212851405622493,0.0636430706747184,98.61640439041227,9.0
eta,$\eta$,0.4940963855421687,0.06377018831744612,98.61640439041227,9.0
eta,$\eta$,0.49606425702811247,0.06389705307115408,98.61640439041227,9.0
eta,$\eta$,0.49803212851405626,0.0640236664391631,98.61640439041227,9.0
eta,$\eta$,0.5,0.06415002990995843,98.61640439041227,9.0
beta,$\beta$,0.01,0.00827952089690169,98.61640439041227,9.861640439041228
beta,$\beta$,0.011967871485943776,0.00905761100272733,98.61640439041227,9.861640439041228
beta,$\beta$,0.01393574297188755,0.00977395354353716,98.61640439041227,9.861640439041228
beta,$\beta$,0.015903614457831325,0.010441265185106545,98.61640439041227,9.861640439041228
beta,$\beta$,0.0178714859437751,0.011068417658374363,98.61640439041227,9.861640439041228
beta,$\beta$,0.019839357429718874,0.011661891795704024,98.61640439041227,9.861640439041228
beta,$\beta$,0.02180722891566265,0.012226592781687147,98.61640439041227,9.861640439041228
beta,$\beta$,0.02377510040160643,0.01276633940656834,98.61640439041227,9.861640439041228
beta,$\beta$,0.025742971887550203,0.013284173765733232,98.61640439041227,9.861640439041228
beta,$\beta$,0.027710843373493978,0.0137825659233936,98.61640439041227,9.861640439041228
beta,$\beta$,0.029678714859437752,0.014263554053151894,98.61640439041227,9.861640439041228
beta,$\beta$,0.031646586345381526,0.014728843302231212,98.61640439041227,9.861640439041228
beta,$\beta$,0.0336144578313253,0.015179877332053004,98.61640439041227,9.861640439041228
beta,$\beta$,0.035582329317269075,0.015617891234435974,98.61640439041227,9.861640439041228
beta,$\beta$,0.037550200803212856,0.016043951427412374,98.61640439041227,9.861640439041228
beta,$\beta$,0.03951807228915663,0.016458986244591828,98.61640439041227,9.861640439041228
beta,$\beta$,0.041485943775100405,0.016863809741400615,98.61640439041227,9.861640439041228
beta,$\beta$,0.04345381526104418,0.017259140470737636,98.61640439041227,9.861640439041228
beta,$\beta$,0.04542168674698795,0.017645616469343005,98.61640439041227,9.861640439041228
