focal_param,curve_type,polygon_order,x,y
epsilon,parameter_factor,7,0.9650650617221503,0.7953441835157579
epsilon,parameter_factor,8,0.9455276958547264,0.7142224154361492
epsilon,parameter_factor,9,0.9241342943374646,0.6427110520328074
epsilon,parameter_factor,10,0.900371593680132,0.5932720960708799
epsilon,parameter_factor,11,0.801493681756277,0.6407974973855453
epsilon,parameter_factor,12,0.8252563824136097,0.6902364533474727
epsilon,parameter_factor,13,0.8667948989997848,0.7496566861705627
epsilon,parameter_factor,14,0.9099947487641156,0.8168325023228654
epsilon,parameter_factor,15,0.9539680359125615,0.8990301040394211
epsilon,parameter_factor,16,0.9971318634481302,1.000542178279411
epsilon,parameter_factor,17,1.0131255522298819,1.1270306928702185
epsilon,parameter_factor,18,1.026425495912494,1.2782731389188224
epsilon,parameter_factor,19,1.0386511895790154,1.4599094933232
epsilon,parameter_factor,20,1.0473856747812789,1.6888459305413759
epsilon,parameter_factor,21,1.05510922685657,1.755080350016293
eta,parameter_factor,0,1.3951379637703052,0.9554639699628573
eta,parameter_factor,1,1.3803040574749568,0.9563155301901455
eta,parameter_factor,2,1.223389786092301,0.9653400068636753
eta,parameter_factor,3,1.099120398626883,0.9770944089759567
eta,parameter_factor,4,0.9990049145482638,0.9881815672118857
eta,parameter_factor,5,0.9163326339757087,0.9961255533563235
eta,parameter_factor,6,0.8465685257200523,1.0014177422769905
eta,parameter_factor,7,0.7868726504075544,1.0056508445922747
eta,parameter_factor,8,0.7343789199987967,0.9995675391055838
eta,parameter_factor,9,0.708957388812867,1.0022784852837219
eta,parameter_factor,10,0.7143792811691431,1.0531215476555815
eta,parameter_factor,11,0.739800812355073,1.0504106014774435
eta,parameter_factor,12,0.7900793624648511,1.0333676838787775
eta,parameter_factor,13,0.848870282930208,1.0229617309972614
eta,parameter_factor,14,0.9181273242637258,1.0153808566478613
eta,parameter_factor,15,1.0006817724031618,1.0078404865987691
eta,parameter_factor,16,1.1011974596551533,1.0032052148672215
eta,parameter_factor,17,1.2253924499878956,0.9949574175751577
eta,parameter_factor,18,1.3820071779295329,0.9859833427808421
eta,parameter_factor,19,1.3968410842248813,0.9851317825535539
