series,age,value,value_low,value_high,n_sim,dt,random_seed
mortality,68.5,0.013316369491668312,0.012719696178160333,0.013913042805176294,160000,0.05,20260604
mortality,69.5,0.014683616827782884,0.014052958956849838,0.015314274698715935,160000,0.05,20260604
mortality,70.5,0.016371731513786084,0.015701011151776908,0.01704245187579526,160000,0.05,20260604
mortality,71.5,0.018327500717430546,0.01761186525230101,0.019043136182560077,160000,0.05,20260604
mortality,72.5,0.020336866272202388,0.019575713557121188,0.021098018987283584,160000,0.05,20260604
mortality,73.5,0.022305617297350706,0.021500023995183845,0.023111210599517568,160000,0.05,20260604
mortality,74.5,0.02441526493482705,0.023562858669477063,0.02526767120017704,160000,0.05,20260604
mortality,75.5,0.026848862537950935,0.025943872950055607,0.027753852125846263,160000,0.05,20260604
mortality,76.5,0.029566025267733196,0.028603206136640785,0.030528844398825607,160000,0.05,20260604
mortality,77.5,0.03243556935559073,0.03141165657646965,0.03345948213471181,160000,0.05,20260604
mortality,78.5,0.03541613680984238,0.034328228900011935,0.036504044719672835,160000,0.05,20260604
mortality,79.5,0.03856947430116403,0.03741335571670929,0.03972559288561878,160000,0.05,20260604
mortality,80.5,0.04195069883857496,0.04072082106923193,0.043180576607918,160000,0.05,20260604
mortality,81.5,0.04543451607181301,0.04412660883846829,0.046742423305157724,160000,0.05,20260604
mortality,82.5,0.04907695572720615,0.047685457858102374,0.050468453596309915,160000,0.05,20260604
mortality,83.5,0.05322360491004277,0.051737441215627046,0.054709768604458496,160000,0.05,20260604
mortality,84.5,0.058070148293358645,0.05647447505778645,0.059665821528930844,160000,0.05,20260604
mortality,85.5,0.06309154813169918,0.061377315187981514,0.06480578107541683,160000,0.05,20260604
mortality,86.5,0.06776197148427936,0.06592610667440629,0.06959783629415243,160000,0.05,20260604
mortality,87.5,0.07268736437732322,0.07071761524757333,0.0746571135070731,160000,0.05,20260604
mortality,88.5,0.07863668125790216,0.07650853780737857,0.08076482470842576,160000,0.05,20260604
mortality,89.5,0.08508818681505627,0.0827811574751684,0.08739521615494414,160000,0.05,20260604
mortality,90.5,0.09170223934164232,0.08919740495891466,0.09420707372436998,160000,0.05,20260604
mortality,91.5,0.09881878347014808,0.09608935976045936,0.1015482071798368,160000,0.05,20260604
mortality,92.5,0.10623171782446561,0.10324930568230814,0.1092141299666231,160000,0.05,20260604
mortality,93.5,0.11404746273690142,0.11077719676297232,0.11731772871083052,160000,0.05,20260604
mortality,94.5,0.1220923330527492,0.11849583558855567,0.12568883051694274,160000,0.05,20260604
mortality,95.5,0.13016777995499654,0.12620226094047213,0.13413329896952095,160000,0.05,20260604
