model,parameter,parameter_label,factor,x_norm,y_norm
Fedichev-Gruber,beta,$\beta$ damage coupling,1.4,0.8859649122807018,1.0217922855920287
Fedichev-Gruber,g,$g$ nonlinearity,0.6,1.4976608187134504,1.9988940765893208
Fedichev-Gruber,g,$g$ nonlinearity,0.7,1.357309941520468,1.6517264361885102
Fedichev-Gruber,g,$g$ nonlinearity,0.7999999999999999,1.2292397660818717,1.393419049907874
Fedichev-Gruber,g,$g$ nonlinearity,0.8999999999999999,1.1105263157894736,1.1781545209176778
Fedichev-Gruber,g,$g$ nonlinearity,1.0,0.9994152046783626,1.0054906770472278
Fedichev-Gruber,g,$g$ nonlinearity,1.1,0.8964912280701754,0.847824561403508
Fedichev-Gruber,g,$g$ nonlinearity,1.1999999999999995,0.7982456140350876,0.7199435919499018
Fedichev-Gruber,g,$g$ nonlinearity,1.2999999999999998,0.7058479532163743,0.6148307171437364
Fedichev-Gruber,g,$g$ nonlinearity,1.4,0.6187134502923977,0.5145581709718179
Fedichev-Gruber,D0,$D_0$ noise,0.6,1.1578947368421053,1.497121710526316
Fedichev-Gruber,D0,$D_0$ noise,0.7,1.115204678362573,1.3230564463728016
Fedichev-Gruber,D0,$D_0$ noise,0.7999999999999999,1.075438596491228,1.1985527792545336
Fedichev-Gruber,D0,$D_0$ noise,0.8999999999999999,1.0374269005847954,1.0866718483973636
Fedichev-Gruber,D0,$D_0$ noise,1.0,1.0005847953216376,1.0097364855227495
Fedichev-Gruber,D0,$D_0$ noise,1.1,0.9637426900584796,0.9219619375992965
Fedichev-Gruber,D0,$D_0$ noise,1.1999999999999995,0.9280701754385966,0.8485945526800426
Fedichev-Gruber,D0,$D_0$ noise,1.2999999999999998,0.892982456140351,0.7967040242114719
Fedichev-Gruber,D0,$D_0$ noise,1.4,0.8584795321637427,0.7361573190316029
