scenario_id,analysis,mode,distribution,cv_requested,favorable_cutoff,rho,delta,n,top_0_01pct_lifespan,top_0_01pct_censored,q9999_tau,q9999_tau_factor,q999_tau_factor,tau_cv,eta_cv_actual,beta_cv_actual,eta_q0001_factor,beta_q9999_factor,conditional_survival_100_from90,conditional_survival_105_from90,conditional_survival_110_from90,factor_mean,factor_cv,eta_factor_mean,eta_factor_cv,beta_factor_mean,beta_factor_cv
truncated_eta__cv0.100__cut0.100,truncated_eta,eta_only,truncated_gaussian,0.1,0.1,,0.0,200000,111.9,False,109.56935483899323,1.1110662117148313,1.110683052215092,0.07456098298135376,0.07692285441204279,1.2277888374267895e-16,0.9000363699806788,1.0,0.1130851742010587,0.0203442445744061,0.001912469857812,1.0285920847517596,0.07692285441204279,,,,
truncated_eta__cv0.100__cut0.150,truncated_eta,eta_only,truncated_gaussian,0.1,0.15,,0.0,200000,116.4,False,116.01079761960666,1.176384378813202,1.1754418241150721,0.08520765485740757,0.08665355842185582,1.2277888374267895e-16,0.8500622908720131,1.0,0.1891120035698349,0.0541053101294065,0.0097278000892458,1.0137074750763277,0.08665355842185583,,,,
truncated_eta__cv0.100__cut0.200,truncated_eta,eta_only,truncated_gaussian,0.1,0.2,,0.0,200000,120.80001000000048,False,123.23673800021598,1.2496575875179379,1.247440454017763,0.09374733358028758,0.09368386497745242,1.2277888374267895e-16,0.8002192040353237,1.0,0.2404972650422675,0.0901442068622575,0.0262555942317255,1.0055962738445456,0.09368386497745244,,,,
truncated_eta__cv0.150__cut0.000,truncated_eta,eta_only,truncated_gaussian,0.15,0.0,,0.0,200000,103.1,False,98.61499296331633,0.9999856877047518,0.9998030087654268,0.07591419755129517,0.08073728991423035,1.2277888374267895e-16,1.0000143125000929,1.0,0.0167176830704026,0.0009418412997409,0.0,1.1198027071159138,0.08073728991423036,,,,
truncated_eta__cv0.150__cut0.020,truncated_eta,eta_only,truncated_gaussian,0.15,0.02,,0.0,200000,104.0,False,100.6267315946652,1.0203853224692134,1.0201885007982197,0.08016576471222905,0.08519337843737138,1.2277888374267895e-16,0.9800219367916001,1.0,0.0264265275206194,0.0004208045783538,0.0,1.1074092891718803,0.08519337843737136,,,,
truncated_eta__cv0.150__cut0.050,truncated_eta,eta_only,truncated_gaussian,0.15,0.05,,0.0,200000,107.10001000000048,False,103.80434001615502,1.052607227548109,1.052352226865069,0.08643401607850963,0.0916218905025369,1.2277888374267895e-16,0.9500219776462586,1.0,0.0490463215258855,0.0038925652004671,5.560807429238725e-05,1.0897945136505374,0.0916218905025369,,,,
truncated_eta__cv0.150__cut0.100,truncated_eta,eta_only,truncated_gaussian,0.15,0.1,,0.0,200000,111.7,False,109.56972355104072,1.1110699505658854,1.1106236481330813,0.09783629965035649,0.10289572653866205,1.2277888374267895e-16,0.9000333412767434,1.0,0.1214924971401655,0.0232151268420698,0.0018504811250925,1.0639983756710927,0.10289572653866204,,,,
truncated_eta__cv0.150__cut0.150,truncated_eta,eta_only,truncated_gaussian,0.15,0.15,,0.0,200000,116.90001000000048,False,116.01449048889263,1.1764218256184145,1.1757611310465972,0.1098877351841341,0.11412462321437788,1.2277888374267895e-16,0.8500352324510192,1.0,0.2112974275353501,0.0635693251235123,0.0123147314366375,1.0431031995711264,0.11412462321437787,,,,
truncated_eta__cv0.150__cut0.200,truncated_eta,eta_only,truncated_gaussian,0.15,0.2,,0.0,200000,122.40001000000048,False,123.25961946882093,1.2498896124913326,1.2486412154782223,0.12196909507149586,0.12467021038718265,1.2277888374267895e-16,0.8000706542450335,1.0,0.2983869339632164,0.1273696323663012,0.0415884359921668,1.0268770642745912,0.12467021038718264,,,,
truncated_eta__cv0.200__cut0.000,truncated_eta,eta_only,truncated_gaussian,0.2,0.0,,0.0,200000,101.9,False,98.6136770200802,0.9999723436445598,0.99973190694766,0.09644793979861942,0.1040136609073697,1.2277888374267895e-16,1.0000276571203355,1.0,0.0131261315630657,0.0001508750754375,0.0,1.1590309671142014,0.10401366090736967,,,,
truncated_eta__cv0.200__cut0.020,truncated_eta,eta_only,truncated_gaussian,0.2,0.02,,0.0,200000,104.00001000000049,False,100.62539478539836,1.0203717668211945,1.0201209358086147,0.10043210250060336,0.108072209290739,1.2277888374267895e-16,0.9800349563917697,1.0,0.0255442983401595,0.0010778184953653,0.0,1.1467884114997136,0.108072209290739,,,,
truncated_eta__cv0.200__cut0.050,truncated_eta,eta_only,truncated_gaussian,0.2,0.05,,0.0,200000,106.9,False,103.80269696473705,1.052590566512573,1.052254640318094,0.10712788565703467,0.1148968772639729,1.2277888374267895e-16,0.9500370151645808,1.0,0.0524554333720374,0.0045078888054094,6.830134553650706e-05,1.1289609869930817,0.11489687726397291,,,,
truncated_eta__cv0.200__cut0.100,truncated_eta,eta_only,truncated_gaussian,0.2,0.1,,0.0,200000,111.5,False,109.5694413193974,1.1110670886521392,1.110586126616965,0.11878120862478715,0.1265707380534031,1.2277888374267895e-16,0.9000356596046085,1.0,0.1229874063446516,0.0216005101227482,0.0020723736649131,1.1017102421219085,0.1265707380534031,,,,
truncated_eta__cv0.200__cut0.150,truncated_eta,eta_only,truncated_gaussian,0.2,0.15,,0.0,200000,117.3,False,116.01108415929995,1.1763872844118703,1.1756543794951289,0.13158229613629574,0.13877625563680546,1.2277888374267895e-16,0.8500601912744638,1.0,0.2232283355878861,0.0707837561770146,0.0141070590508792,1.0785441451177828,0.13877625563680543,,,,
truncated_eta__cv0.200__cut0.200,truncated_eta,eta_only,truncated_gaussian,0.2,0.2,,0.0,200000,122.80002000000094,False,123.2554440076597,1.2498472720593623,1.2489219273707146,0.14439298885276827,0.15018290202710777,1.2277888374267895e-16,0.8000977578262902,1.0,0.3181262817995374,0.1426888336169655,0.0493520094253174,1.058060322666328,0.15018290202710774,,,,
