candidate_id,label,curve,age,value,hmd_reference,ratio_to_hmd,top_0_01pct_lifespan,top_0_01pct_censored
cv010_stress_best,10% CV stress best,conditional_survival_from90,97.0,0.3013474887709268,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,98.0,0.2471927317272355,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,99.0,0.1996733360555331,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,100.0,0.1603715802368314,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,101.0,0.1281135157207024,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,102.0,0.10075541037158015,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,103.0,0.08028787260106178,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,104.0,0.06272968558595357,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,105.0,0.04956104532462228,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,106.0,0.03787260106165773,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,107.0,0.029093507554103913,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,108.0,0.023530012249897935,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,109.0,0.017864434463045874,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,110.0,0.013883217639852721,,,,
cv010_stress_best,10% CV stress best,tail_metric,100.0,0.1603715802368314,0.06977772164688054,2.298320673873721,121.3333333333342,False
cv010_stress_best,10% CV stress best,tail_metric,105.0,0.04956104532462228,0.005241222530942157,9.456008599526728,121.3333333333342,False
cv010_stress_best,10% CV stress best,tail_metric,110.0,0.013883217639852721,0.00015786814852235414,87.94185381788307,121.3333333333342,False
