age,ci_lower,ci_upper,candidate_id,label,source_fit,source_ci,n_sim,dt,ci_method,ci_parameters
88.0,0.1063985178009948,0.1245368858127414,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
89.0,0.1104150110499254,0.135380817249314,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
90.0,0.1238161180263359,0.1563364474162596,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
91.0,0.1453443919346969,0.1684716088107858,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
92.0,0.1518220317704758,0.1903235500350595,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
93.0,0.1759961923900684,0.2128250835372342,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
94.0,0.184433788270011,0.2411101181945404,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
95.0,0.1970850908231331,0.2700869329270202,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
96.0,0.2352917597779358,0.2718856856912512,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
97.0,0.2477011695701449,0.3137923999925817,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
98.0,0.268423091824874,0.3314749113025849,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
99.0,0.3043767460423041,0.3625205166630985,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
100.0,0.3184605862825634,0.4216210602835038,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
