candidate_id,start_name,tau_sd,tau_cv,screen_de_score,search_score,eval_score_mean,eval_score_sd,eval_score_min,eval_score_max,history_start,history_end,history_steps,eta,beta,kappa,epsilon,tau,tau_factor_vs_karin,eta_factor,beta_factor,kappa_factor,epsilon_factor,SWE_Xc,SWE_xc_std_frac,USA_Xc,USA_xc_std_frac,eta_log2,tau_log2,kappa_log2,epsilon_log2,SWE_Xc_log2,SWE_xc_std_log2,USA_Xc_log2,USA_xc_std_log2,best_eval_score,score_ratio_to_best,acceptance_multiplier,strict_accepted
stress_tau_sd_0.050_joint2019_tail90_sweden_emphasis,joint2019_tail90_sweden_emphasis,0.05,0.0500312662821478,,0.0582860905716759,0.0641298492513854,0.0040730692500065,0.0595368542642058,0.0673028117477885,0.1346608274298796,0.0582860905716759,5,0.5868368257640714,57.87173772073557,0.4204482076268572,49.718659304628446,98.61640439041228,0.9726549474122854,1.086734862526058,1.0570180405613805,0.8408964152537145,0.9592641193252642,21.274707957940976,0.1414213562373095,20.83688079924151,0.1727576982582275,0.1199999999999998,-0.0400000000000001,-0.25,-0.0600000000000002,0.0187500000000001,-0.4999999999999999,-0.01125,-0.21125,0.0104153454868315,6.157246471801318,2.5,False
stress_tau_sd_0.050_random_17,random_17,0.05,0.0500312662821478,,11.20397666944094,11.27725476094654,8.691026940507788e-09,11.277254755854358,11.2772547709817,11.27725478160431,11.20397666944094,5,0.3698403028925948,9.53957222405641,1.007163365454146,52.68793722871529,25.793760575701224,0.2544042138973271,0.6848894498011014,0.1742387620832221,2.0143267309082917,1.0165529081365097,13.45949403465119,0.1103058859044698,10.367389528577355,0.4860073797901746,-0.5460569580476893,-1.974805527573161,1.010297712555146,0.0236853045282072,-0.6417651502923152,-0.8584902250395943,-1.018336653439685,1.2809782206332252,0.0104153454868315,1082.7537862478691,2.5,False
stress_tau_sd_0.050_random_14,random_14,0.05,0.0500312662821478,,11.203976672972807,11.277254777392123,2.585504233449731e-10,11.277254777093576,11.27725477754167,11.277254781905278,11.203976672972807,12,0.491512341541987,12.458472546029531,0.3720174584666025,37.0712457582948,25.34722222222222,0.25,0.9102080398925684,0.2275520099731421,0.7440349169332051,0.7152468793805673,12.066299723081382,0.0924705365398326,12.456112918215656,0.409941024816973,-0.1357317651601326,-2.0,-0.4265577674998306,-0.4834867967981859,-0.7994060038792278,-1.1129343353019003,-0.7535353998605777,1.0354163747942806,0.0104153454868315,1082.7537878268456,2.5,False
stress_tau_sd_0.050_baseline_tau_-2.0,baseline_tau_-2.0,0.05,0.0500312662821478,,11.277254777468016,11.277254777543192,2.0829664883712412e-10,11.27725477730269,11.27725477766604,11.27725478204878,11.277254777468016,10,0.54,13.6875,0.5,51.83,25.34722222222222,0.25,1.0,0.25,1.0,1.0,14.8492424049175,0.1915206561397147,12.486674707528572,0.2,0.0,-2.0,0.0,0.0,-0.5,-0.0625,-0.75,0.0,0.0104153454868315,1082.7537878413498,2.5,False
stress_tau_sd_0.075_carry_tau_sd_0.025,carry_tau_sd_0.025,0.075,0.0751055924505399,,0.0790558689946861,0.0859063252855215,0.0031225392898751,0.0833301856675139,0.0893790873195796,0.1655512532221752,0.0790558689946861,5,0.6978705285442458,65.90367718999379,0.5,49.718659304628446,94.435392374956,0.9314175686297032,1.292352830637492,1.2037201313240875,1.0,0.9592641193252642,20.818834836715904,0.0957603280698573,20.854942404177756,0.1479387509248837,0.3699999999999999,-0.1025000000000001,0.0,-0.0600000000000002,-0.0124999999999998,-1.0625,-0.0099999999999999,-0.4349999999999999,0.0104153454868315,8.248053354940117,2.5,False
stress_tau_sd_0.075_figS_tau_spread_constraint_source_data_profile_tau_sd_0.075,figS_tau_spread_constraint_source_data_profile_tau_sd_0.075,0.075,0.0751055924505399,,0.0902840713002853,0.0970401775822061,0.0056877023985223,0.0934005002852697,0.1035944138116534,0.2080775519937491,0.0902840713002853,6,0.6978705285442458,68.8214822550701,0.5946035575013605,49.718659304628446,98.61640439041228,0.9726549474122854,1.292352830637492,1.2570133745218282,1.189207115002721,0.9592641193252642,21.74056340066893,0.0878126080186649,21.293149075590613,0.1144724160598684,0.3699999999999998,-0.0400000000000001,0.25,-0.0600000000000002,0.0500000000000001,-1.1875,0.0199999999999999,-0.805,0.0104153454868315,9.317038758329897,2.5,False
stress_tau_sd_0.075_de_best,de_best,0.075,0.0751055924505399,0.3877892243326724,0.1005636559430257,0.1329894844878696,0.0099097541811131,0.123190059147103,0.1430060003763908,0.3288547178386928,0.1005636559430257,6,0.5787576697695983,57.87173772073558,0.5,57.70864247279282,99.9930380944656,0.9862327044933592,1.0717734625362931,1.0570180405613805,1.0,1.1134216182286865,21.74056340066893,0.0947698460948383,21.0,0.1771535038204721,0.0999999999999999,-0.02,0.0,0.155,0.05,-1.0775,0.0,-0.1749999999999998,0.0104153454868315,12.768609995320096,2.5,False
stress_tau_sd_0.075_figS_tau_spread_constraint_source_data_profile_tau_sd_0.160,figS_tau_spread_constraint_source_data_profile_tau_sd_0.160,0.075,0.0751055924505399,,0.1327058512551189,0.1343556412085156,0.0031804710266619,0.1314064930550303,0.1377255489835901,0.1675803692112449,0.1327058512551189,4,0.5868368257640714,57.87173772073557,0.3535533905932738,49.718659304628446,98.61640439041228,0.9726549474122854,1.086734862526058,1.0570180405613805,0.7071067811865476,0.9592641193252642,19.936184539960905,0.1189207115002721,20.854942404177756,0.1684709681933586,0.1199999999999998,-0.0400000000000001,-0.5,-0.0600000000000002,-0.0749999999999999,-0.75,-0.0099999999999999,-0.2474999999999999,0.0104153454868315,12.899777676927329,2.5,False
stress_tau_sd_0.075_figS_tau_spread_constraint_source_data_profile_tau_sd_0.025,figS_tau_spread_constraint_source_data_profile_tau_sd_0.025,0.075,0.0751055924505399,,0.11337192731339,0.1377646756179657,0.0116083187740453,0.1304910009113128,0.1511520671584243,0.2012966615399458,0.11337192731339,7,0.6978705285442458,68.8214822550701,0.5,54.21858242944678,98.61640439041228,0.9726549474122854,1.292352830637492,1.2570133745218282,1.0,1.0460849397925291,21.74056340066893,0.1414213562373095,21.293149075590613,0.2099433367246135,0.3699999999999998,-0.0400000000000001,0.0,0.0649999999999998,0.0500000000000001,-0.4999999999999999,0.0199999999999999,0.07,0.0104153454868315,13.227086493880178,2.5,False
stress_tau_sd_0.075_random_04,random_04,0.075,0.0751055924505399,,11.20397666944094,11.27725476001301,9.957847234151372e-09,11.277254748762587,11.277254767694853,19.395114060399287,11.20397666944094,5,0.2480100706363156,23.505594960793683,0.1826672153836838,83.58594667509776,94.77677620302168,0.9347846420024056,0.4592779085857696,0.4293259353569622,0.3653344307673677,1.612694321340879,10.440311355182308,0.0953289720652899,9.249516318953054,0.1746905660333964,-1.1225607037523044,-0.0972940632580439,-1.4527103686811256,0.689473008315115,-1.0082245907077927,-1.069013355015085,-1.1829394974192673,-0.1951983007569686,0.0104153454868315,1082.7537861582389,2.5,False
