scenario,target_year,source_year,variant,xc_factor,h_ext,n,from_age,random_seed,Median,Top 10%,Top 1%,Top 0.01%
exponential,2050,2019,low,1.1039485833525418,0.00033084941200360916,1000000,20,972800887,87.6943213296399,97.7358293460925,104.33934375,111.666565
exponential,2050,2019,central,1.1284494920574735,0.00031117083516738684,1000000,20,4071764678,88.40757410636444,98.27585989932886,104.80496822033898,112.00622499999994
exponential,2050,2019,high,1.1284494920574735,0.00029266271949045816,1000000,20,299019827,88.41205731593662,98.29881955484896,104.76272587719298,112.13225375
exponential,2060,2019,low,1.147689736297874,0.00031012633229265084,1000000,20,3416889100,88.9224456521739,98.69207399103139,105.07973295454545,112.45309950000001
exponential,2060,2019,central,1.1766643996342583,0.00029194644414294596,1000000,20,24771029,89.6731228298611,99.27482220609579,105.62024557522123,112.77987583333334
exponential,2060,2019,high,1.1766643996342583,0.000274832277600029,1000000,20,2985565717,89.67453893442622,99.29028192934783,105.5767301980198,112.7639975
exponential,2070,2019,low,1.1887748636404547,0.00029070126314820985,1000000,20,2339297821,89.99621848739496,99.52035498489427,105.8257945736434,113.177855
exponential,2070,2019,central,1.2269393704473686,0.00027390975186302846,1000000,20,4165235361,90.89243892165122,100.2012187958884,106.38986923076924,113.265895
exponential,2070,2019,high,1.2269393704473686,0.0002580881532923842,1000000,20,3701743152,90.88027562446166,100.21551987767583,106.39629545454545,113.22939166666666
exponential,2080,2019,low,1.2293506662031588,0.00027249290239636753,1000000,20,1312084098,90.92901127493495,100.25587904360056,106.42285271317829,113.81544
exponential,2080,2019,central,1.2793624241726882,0.0002569873813189193,1000000,20,585086990,92.01879811804962,101.10078145695364,107.15554330708662,114.08759666666667
exponential,2080,2019,high,1.2793624241726882,0.0002423641627960885,1000000,20,2950629883,92.06239215686274,101.11136764705881,107.1882015503876,114.168515
exponential,2090,2019,low,1.2713114204534899,0.00025542504030517325,1000000,20,3920265081,91.86501857968621,100.972345545977,107.04077713178295,114.159400625
exponential,2090,2019,central,1.3340253412751895,0.0002411104887940642,1000000,20,2124410650,93.11732633279482,101.94591520861373,107.8521923076923,114.8435325
exponential,2090,2019,high,1.3340253412751895,0.00022759815457822573,1000000,20,577089349,93.12036,101.93044797687861,107.88549615384616,114.6058225
exponential,2100,2019,low,1.3147043981903017,0.00023942624061451182,1000000,20,692877632,92.72553170144461,101.64673928077455,107.64177713178294,114.652973125
exponential,2100,2019,central,1.3910238236949912,0.0002262144837935385,1000000,20,3904531583,94.16021505376345,102.76064516129033,108.5357097902098,115.06532875
exponential,2100,2019,high,1.3910238236949912,0.00021373176368073984,1000000,20,1977725603,94.14739021571648,102.7340777027027,108.5380326923077,115.21797125
