scenario,target_year,source_year,variant,xc_factor,h_ext,n,from_age,random_seed,age,survival
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,30,0.988196
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,31,0.987756
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,32,0.987333
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,33,0.986875
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,34,0.986414
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,35,0.985948
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,36,0.985484
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,37,0.984968
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,38,0.984443
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,39,0.983878
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,40,0.983296
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,41,0.982689
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,42,0.982005
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,43,0.98127
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,44,0.980523
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,45,0.979758
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,46,0.978901
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,47,0.977952
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,48,0.976936
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,49,0.975852
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,50,0.974597
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,51,0.973228
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,52,0.971708
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,53,0.970061
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,54,0.968216
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,55,0.966155
