year,condition,from_t,ref_year,old_fig4_ref_year,sr_baseline_median,sr_baseline_steepness,ref_median,ref_steepness,old_fig4_ref_median,old_fig4_ref_steepness,age_at_survival_75,median_lifespan,age_at_survival_25,iqr,steepness_iqr_absolute,x_relative_to_sr,y_relative_to_sr,x_relative_to_ref_year,y_relative_to_ref_year,x_relative_to_old_fig4_ref,y_relative_to_old_fig4_ref,ggm_a,ggm_b,ggm_c,ggm_m,country_key,country_name,hmd_country_code
1953,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,68.66892138702492,76.58248433659195,83.00901512529667,14.340093738271747,5.340445169629803,0.9050586960599996,0.8182019187754643,0.8970703903923479,0.8280101098588306,0.9043366564097304,0.822080377422136,1.3660005396572096e-05,0.1135788118414706,11.264959433993248,0.0008425957969895,sweden,Sweden,swe
1954,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,68.13153706230105,76.84564254062039,83.39397193585339,15.262434873552335,5.034953018786218,0.9081687234123204,0.7713979059915652,0.8945551986589989,0.7902208513168654,0.9015879570054854,0.7820750577836935,,,,,sweden,Sweden,swe
1954,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,68.68887815992048,76.70969435823751,83.20072216874988,14.5118440088294,5.286005990111612,0.9065620755509324,0.8098613704272385,0.8985605006279711,0.819569579232316,0.9058388365313772,0.8137002930240466,1.5243236462435712e-05,0.1116804496653113,11.276247413823276,0.000702991062665,sweden,Sweden,swe
1955,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,68.3164275111331,77.06192210703279,83.65669719519175,15.340269684058654,5.023505042229748,0.910724734803924,0.7696439779786222,0.8970728952270984,0.7884241255586397,0.904125447043658,0.7802968531224976,,,,,sweden,Sweden,swe
1955,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,68.81478198160556,76.88653113737543,83.42169346413971,14.606911482534144,5.26370897977376,0.9086519485307456,0.8064452775619594,0.9006319277940023,0.81611253597226,0.9079270422478825,0.8102680071205857,1.5650843209559634e-05,0.1110096291220714,11.227087889341249,0.0006527978376082,sweden,Sweden,swe
1956,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,68.42518587360595,77.03888731195005,83.65896739130434,15.23378151769839,5.057108586101709,0.9104525075213776,0.7747923285749452,0.8968047486541757,0.7936981014918186,0.9038551923727088,0.7855164635969836,,,,,sweden,Sweden,swe
1956,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,68.86891729812045,76.91146208191104,83.42590132667429,14.556984028553842,5.283475061252216,0.908946584678272,0.8094736104590586,0.9009239633990256,0.8191771709936113,0.9082214433399568,0.8133106949875771,1.5136286040731076e-05,0.1114699795392538,11.244956448712571,0.0006521979697012,sweden,Sweden,swe
1957,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,68.26636976408281,76.91726207487854,83.47583505764115,15.209465293558338,5.057196988210709,0.9090151295174452,0.7748058725348419,0.895388917066159,0.7937119759390223,0.9024282298880936,0.7855301950229266,,,,,sweden,Sweden,swe
1957,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,68.81480369494155,76.75283744510446,83.16919680057394,14.354393105632395,5.346992859975952,0.9070719444365144,0.819205080990336,0.8990658692656397,0.8290252974753364,0.906348298652676,0.8230882948484988,1.4077191654565549e-05,0.11275928008036,11.4109944893869,0.0006516202490764,sweden,Sweden,swe
1958,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,68.81223579145139,77.35696585903084,83.86204681701399,15.049811025562605,5.140062272385843,0.9142115884334088,0.7875015434683323,0.9005074806304568,0.8067174350090802,0.9075870342566288,0.7984015905786995,,,,,sweden,Sweden,swe
1958,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,69.09475649484276,77.11523878975521,83.5946855272367,14.49992903239395,5.318318359867408,0.9113548361614472,0.814811902095408,0.9033109589691246,0.8245794553721268,0.9106277735631452,0.8186742913108018,1.4680828046616946e-05,0.1115335984401234,11.383760159391697,0.0005571027507847,sweden,Sweden,swe
1959,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,69.17972404115997,77.61133768352366,84.10021994134897,14.920495900188996,5.201659395418658,0.9172177775611734,0.7969387500411304,0.903468606732983,0.816384919654924,0.9105714399559244,0.8079694203827622,,,,,sweden,Sweden,swe
1959,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,69.61620606483991,77.48497108701473,83.8579093063032,14.241703241463284,5.440709567759075,0.9157243657444551,0.8335632829180577,0.9076419218402884,0.8435556182711383,0.9149938172135548,0.8375145578393144,1.1925259614187372e-05,0.1140117438110855,11.498601700480055,0.0006465393626942,sweden,Sweden,swe
1960,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,68.79038830297219,77.2051177904143,83.70006983240224,14.909681529430046,5.178186914188611,0.9124170342847436,0.7933425649721285,0.8987398269978459,0.8127009837709307,0.9058054837947817,0.8043234594282465,,,,,sweden,Sweden,swe
1960,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,69.12028220053729,77.04459458448619,83.45199256304423,14.33171036250694,5.375812979450232,0.9105199565821436,0.8236205700187212,0.9024834482746282,0.8334937171546077,0.9097935600358468,0.8275247142746361,1.3398633782207674e-05,0.1130080077341522,11.445540329445535,0.0005951755343646,sweden,Sweden,swe
1961,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,69.1546356088561,77.61796357615894,84.07462789415656,14.919992285300468,5.20227906904684,0.9172960829569916,0.7970336893459052,0.9035457383244004,0.8164821755816771,0.9106491779356832,0.808065673771177,,,,,sweden,Sweden,swe
1961,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,69.54559478190765,77.42039719225626,83.81963224137722,14.274037459469568,5.423861147351455,0.91496122564139,0.8309819606746901,0.9068855174289931,0.8409433524413165,0.9142312859300228,0.834920999555741,1.186470308061938e-05,0.1142582107225118,11.382451808299471,0.0005925763646245,sweden,Sweden,swe
1962,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,69.03548387096774,77.43362831858407,83.85289957567186,14.817415704704118,5.225852460493569,0.9151175922837806,0.8006453347239807,0.9013999034077024,0.820181949023049,0.9084864730276832,0.8117273090255815,,,,,sweden,Sweden,swe
1962,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,69.36072286032874,77.20911080114719,83.57042691712117,14.209704056792432,5.433548122646522,0.9124642240451512,0.832466088218706,0.9044105550795905,0.8424452709562525,0.9117362763970251,0.8364121621936301,1.201250384916551e-05,0.1143796130853345,11.465526935331065,0.0005715596243678,sweden,Sweden,swe
1963,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,69.17562724014337,77.66621253405995,84.11998870694522,14.944361466801851,5.19702449024614,0.9178662934862324,0.7962286428899396,0.9041074013503476,0.815657485119282,0.9112152566090266,0.8072494844236591,,,,,sweden,Sweden,swe
1963,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,69.64751919021523,77.48560383730117,83.82763438076779,14.180115190552556,5.464384653865551,0.9157318436443188,0.8371905087885998,0.9076493337380792,0.847226325492218,0.9150012891476834,0.8411589775653318,1.1618949267877506e-05,0.114370818919687,11.564830314232522,0.0006121031531942,sweden,Sweden,swe
