year,condition,from_t,ref_year,old_fig4_ref_year,sr_baseline_median,sr_baseline_steepness,ref_median,ref_steepness,old_fig4_ref_median,old_fig4_ref_steepness,age_at_survival_75,median_lifespan,age_at_survival_25,iqr,steepness_iqr_absolute,x_relative_to_sr,y_relative_to_sr,x_relative_to_ref_year,y_relative_to_ref_year,x_relative_to_old_fig4_ref,y_relative_to_old_fig4_ref,ggm_a,ggm_b,ggm_c,ggm_m,country_key,country_name,hmd_country_code
1878,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,66.31129108295492,74.60961964163295,81.3372699965725,15.025978913617578,4.965374972942133,0.8817432034406353,0.7607379537205406,0.8739606869473721,0.7698572958330929,0.8810397644736254,0.7643440204221129,2.4815122721299416e-05,0.1078552663986214,10.718473997850475,0.0059505464441039,sweden,Sweden,swe
1879,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,54.82068543451652,69.75339233038349,78.76836734693877,23.947681912422254,2.9127408901402134,0.824351871778255,0.4462568399281364,0.8119947686072343,0.4571459906942527,0.8183784585067357,0.4524336158581455,,,,,sweden,Sweden,swe
1879,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,65.68307440907292,74.17060920755128,81.03361671232757,15.350542303254656,4.831790808577848,0.8765549385982419,0.7402717161449845,0.8688182152072671,0.7491457193451091,0.8758556387361858,0.7437807683391738,3.107446031952522e-05,0.1050585083595765,10.60046811193842,0.0056814548971581,sweden,Sweden,swe
1880,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,53.31140350877193,68.55017502917153,77.79780724120346,24.486403732431526,2.79951992045197,0.8101321413641112,0.4289104181033504,0.7979881931355456,0.4393762973683885,0.8042617670123556,0.4348470969609732,,,,,sweden,Sweden,swe
1880,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,64.95365347567514,73.3452427821459,80.1692311913673,15.215577715692165,4.820404729457188,0.8668006838594442,0.7385272713491026,0.8591500542972487,0.7473803630266558,0.8661091657674665,0.7420280544878828,3.057871104467282e-05,0.106785281457893,10.405669091456431,0.0061972564349589,sweden,Sweden,swe
1881,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,53.48039889958735,68.66696322657177,77.92299578059072,24.442596881003375,2.809315375157182,0.8115123547976385,0.4304111656216772,0.7993477170548253,0.4409136647534083,0.8056319791521107,0.4363686167797307,,,,,sweden,Sweden,swe
1881,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,65.00050174919573,73.40586424240101,80.24856694493472,15.248065195738988,4.814110072333242,0.8675171137356362,0.7375628759900537,0.8598601607594285,0.7464044069834477,0.8668250240887092,0.7410590876808413,3.056540746427317e-05,0.1067139909406043,10.3664699502431,0.0061235929297863,sweden,Sweden,swe
1882,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,54.62788461538461,69.88321385902032,79.16355975485189,24.53567513946728,2.848228689929485,0.8258861142939737,0.4363730185761228,0.8135060126999432,0.4470209933843204,0.8199015836041299,0.4424129895445913,,,,,sweden,Sweden,swe
1882,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,66.25529781618721,74.70064953118651,81.54750088892885,15.292203072741644,4.884884746550381,0.8828190028725228,0.7484061619719947,0.8750269910672578,0.7573776767975479,0.8821147056519555,0.7519537732443647,2.7909351575217012e-05,0.1059061293412137,10.592722600505608,0.0059533356654273,sweden,Sweden,swe
1883,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,54.73299522673031,69.81067073170732,78.94869586614173,24.215700639411423,2.882868093359619,0.8250287930829583,0.4416800717246036,0.8126615428052381,0.4524575443840093,0.8190504747086016,0.4477934992212725,,,,,sweden,Sweden,swe
