year,ggm_m,ggm_m_stderr,ggm_fit_age_start,ggm_fit_age_end,ci_method,ggm_m_ci_low,ggm_m_ci_high
1949,0.0009041800861133176,3.762309553289141e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0008333669804982801,0.0009810103438884373
1950,0.0006968325824987416,3.094637149718741e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0006387435741274959,0.0007602043569599068
1951,0.0006917190226119407,3.148504743584947e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0006326820149296767,0.0007562649086783376
1952,0.0007439365998515639,2.9533251146069412e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0006882471233161859,0.0008041321871888893
1953,0.0007406117518206064,2.642707555396316e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.000690585370409208,0.0007942620716244959
1954,0.0006642828155034246,3.08795002125497e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0006064353544709103,0.0007276483069793121
1955,0.0006348428490267406,2.8803258044796694e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0005808267782435281,0.0006938823381717587
1956,0.0004999149795290552,3.0244408576215795e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0004440166124452792,0.0005628505325087027
1957,0.0005825113496817296,2.3723247005580062e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0005378219445556244,0.0006309141453653273
1958,0.0005408549927732862,2.849953788414191e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00048778457421709646,0.0005996994137776872
1959,0.0005618680783874058,3.671000100510113e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0004943341068209375,0.0006386282741868554
1960,0.0005010952493292714,2.532672293180956e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00045383525915186954,0.0005532766435327556
1961,0.0005333592357410491,3.4064363459360615e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00047060402517654906,0.0006044828754780734
1962,0.0005001162379770459,3.562392347837272e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0004349494378437034,0.0005750467289445977
1963,0.0004566714478104559,2.6951062283450963e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00040678889438949,0.0005126708573455247
1964,0.00045900439305779757,2.6748300883522597e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00040946181409600867,0.0005145413457210852
1965,0.00043469124109762566,2.171711550667486e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0003941440506975128,0.0004794096847398806
1966,0.0004099501065858887,2.5235090518198742e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00036335741108824935,0.000462517303242687
1967,0.00035668669650380005,2.7801164824700055e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0003061553605832843,0.00041555829439146624
1968,0.00041375091680185134,3.216691123521476e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00035527334214444773,0.00048185383153450854
1969,0.0003847923385887943,2.9087596299443502e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00033180395807361565,0.00044624284983298134
1970,0.0004165664697769428,3.0235937491417695e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00036132744379968644,0.00048025032894712886
1971,0.0003660060095866777,3.808388529658647e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0002984822178931703,0.00044880529231898476
1972,0.00033256710652581636,2.8414628552273746e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00028128876674254454,0.0003931933778364618
1973,0.0003922519924573195,3.850392446253331e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00032360125504871605,0.00047546671462560974
1974,0.0003855941974370978,4.022289730341933e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00031429552585473223,0.0004730671386199783
1975,0.000411281147389017,4.07437566187457e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00033869916724725454,0.0004994171777049076
1976,0.0003496732044223633,4.056527365239954e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0002785577390071977,0.0004389443650956849
1977,0.00041336722794831153,4.4007233750647575e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00033551875335307386,0.0005092784335719633
1978,0.000429116466073688,4.3219870538942596e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00035224401920851643,0.0005227652746789874
1979,0.000477039011944988,3.807586766504397e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0004079561299428025,0.0005578203199186057
1980,0.0004551120436135762,3.2894562221264255e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00039499830498753694,0.0005243743318054517
1981,0.0004831828373838719,3.6569085994314326e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00041657133339064226,0.0005604458003436242
1982,0.00046157824569268763,3.571942005892019e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0003966201322325742,0.0005371751446338735
1983,0.00037163504606653464,3.666167413521013e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0003062992349781684,0.00045090745157988846
1984,0.0003701476353869987,3.290977064333353e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0003109530192472051,0.00044061084312439265
1985,0.00039384018781691237,3.5293621518960005e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00033040027230609375,0.0004694611552739935
1986,0.00033277105378967745,3.337860379807195e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00027337938545520294,0.00040506556138424765
1987,0.0003561995570328318,4.0138919355637105e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0002856106263214338,0.00044423460732022466
1988,0.00038374573132660594,3.8173853888349184e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00031576837088442735,0.00046635698787352497
1989,0.0002570441135371009,2.6883097399092247e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00020940367043190554,0.0003155230095432323
1990,0.00026014611913527814,3.169766252105156e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00020488123360070756,0.00033031821466401304
1991,0.00033420194912632816,3.060227113274759e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00027929681600366395,0.0003999005230277011
1992,0.00027203567674610166,3.086909584195808e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00021778915336051667,0.0003397938248109546
1993,0.00021772090236459935,2.439228783234505e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00017479783446441684,0.00027118408801629054
1994,0.0002894427444395287,2.96128679864107e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0002368515842623602,0.0003537113866879882
1995,0.00034060959008460495,2.6911040249900594e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00029174588951734877,0.00039765733477696086
1996,0.00024059851601307603,2.8854769035173167e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0001901993768401001,0.0003043524477809426
1997,0.00022499004964009322,2.4674296574556747e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00018147358069490427,0.00027894155305259276
1998,0.000162249392118868,3.068650930888506e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00011199376686482127,0.00023505652126798115
1999,0.0003162963300347926,2.4332096084484058e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0002720274814058054,0.00036776934402534006
2000,0.0002931646216815823,2.992115083786144e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.000240013514186773,0.00035808606734879297
2001,0.00019870493589870227,2.496804747486513e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00015532875923338757,0.00025419408321662853
