scenario,year,age,survival,survival low,survival high
exponential,2030,56,0.969805,0.966969,0.971214
exponential,2030,57,0.967807,0.964777,0.96926
exponential,2030,58,0.96558,0.962249,0.967112
exponential,2030,59,0.96312,0.95944,0.96467
exponential,2030,60,0.960253,0.956279,0.961932
exponential,2030,61,0.957011,0.95256,0.95871
exponential,2030,62,0.953342,0.948489,0.95513
exponential,2030,63,0.94916,0.943862,0.951033
exponential,2030,64,0.944536,0.938554,0.946324
exponential,2030,65,0.939199,0.932714,0.941006
exponential,2030,66,0.933109,0.925907,0.934893
exponential,2030,67,0.926262,0.91836,0.927936
exponential,2030,68,0.918436,0.909712,0.920131
exponential,2030,69,0.909577,0.899948,0.911219
exponential,2030,70,0.899443,0.888756,0.901204
exponential,2030,71,0.887834,0.876402,0.889936
exponential,2030,72,0.875,0.862551,0.87741
exponential,2030,73,0.860599,0.847185,0.863241
exponential,2030,74,0.844402,0.830092,0.847146
exponential,2030,75,0.826383,0.810674,0.82949
exponential,2030,76,0.806408,0.789435,0.809546
exponential,2030,77,0.784173,0.766185,0.787768
exponential,2030,78,0.759926,0.740629,0.763172
exponential,2030,79,0.732755,0.712965,0.736469
exponential,2030,80,0.70362,0.682939,0.707389
exponential,2030,81,0.672009,0.650282,0.67574
exponential,2030,82,0.638398,0.615499,0.641772
exponential,2030,83,0.602345,0.578682,0.605764
exponential,2030,84,0.563755,0.539788,0.567529
exponential,2030,85,0.523996,0.499356,0.527324
exponential,2030,86,0.48251,0.457899,0.485926
exponential,2030,87,0.440112,0.415976,0.443537
exponential,2030,88,0.397289,0.373458,0.400534
exponential,2030,89,0.354484,0.331231,0.357048
exponential,2030,90,0.312181,0.290073,0.314296
exponential,2030,91,0.271052,0.250712,0.273107
exponential,2030,92,0.232072,0.213164,0.233142
exponential,2030,93,0.195081,0.178469,0.196257
exponential,2030,94,0.161001,0.146464,0.162128
exponential,2030,95,0.130605,0.117752,0.131543
exponential,2030,96,0.103793,0.092696,0.104331
exponential,2030,97,0.080671,0.071284,0.081271
exponential,2030,98,0.061219,0.053483,0.061588
exponential,2030,99,0.04506,0.039153,0.04532
exponential,2030,100,0.032421,0.027982,0.032474
exponential,2030,101,0.022499,0.0193,0.022563
exponential,2030,102,0.015174,0.012933,0.015174
exponential,2030,103,0.009759,0.008339,0.009839
exponential,2030,104,0.006111,0.005288,0.0062
exponential,2030,105,0.003662,0.003174,0.003798
exponential,2030,106,0.002181,0.001844,0.002193
exponential,2030,107,0.001177,0.001015,0.001228
exponential,2030,108,0.000652,0.000546,0.000682
exponential,2030,109,0.000334,0.000273,0.000339
exponential,2030,110,0.000152,0.00014,0.000166
exponential,2030,111,7.4e-05,6.9e-05,7.4e-05
exponential,2030,112,2.9e-05,2.3e-05,3.2e-05
exponential,2030,113,1.5e-05,1e-05,1.5e-05
exponential,2030,114,5e-06,3e-06,8e-06
exponential,2030,115,3e-06,1e-06,3e-06
exponential,2030,116,2e-06,0.0,2e-06
exponential,2030,117,2e-06,0.0,2e-06
exponential,2030,118,1e-06,0.0,1e-06
exponential,2030,119,1e-06,0.0,1e-06
exponential,2030,120,0.0,0.0,0.0
exponential,2040,0,1.0,1.0,1.0
exponential,2040,1,0.999637,0.999637,0.999672
exponential,2040,2,0.999329,0.999302,0.999375
exponential,2040,3,0.99901,0.998967,0.999042
exponential,2040,4,0.998687,0.998548,0.998729
exponential,2040,5,0.99837,0.998194,0.998428
exponential,2040,6,0.998047,0.997827,0.998093
exponential,2040,7,0.997706,0.997471,0.997767
exponential,2040,8,0.997348,0.997128,0.997446
exponential,2040,9,0.99704,0.996792,0.99712
