year,Median,Top 10%,Top 1%,Top 0.01%,Median smoothed,Top 10% smoothed,Top 1% smoothed,Top 0.01% smoothed
1922,72.75565359888867,86.10331367029015,93.63449353980619,102.02724878168415,73.34655288012414,86.86707315401313,94.39281676098668,102.91485313138546
1923,74.05251760709362,87.46158431189593,94.88387597868365,103.42463925753957,73.52736832279622,86.98346804089951,94.44803317948575,102.93140662626747
1924,73.72636278835265,87.04577161893039,94.57821222846654,103.17602243479703,73.54502158380942,86.96821504561169,94.52356560585606,103.08632365277177
1925,73.62349565113882,87.26568346868635,94.65532277457169,103.16181464778911,73.58728377697767,86.95811895393777,94.47032013648652,103.0115092570034
1926,73.56707827357332,86.9647221582557,94.86592350775227,103.6418931420489,73.4685057178431,86.8389751044195,94.37701448429758,102.96031296347044
1927,72.9669645647299,86.05283321192047,93.36826619295844,101.6531768028424,73.37557659544419,86.74464227198969,94.32724977071062,102.92674185564142
1928,73.45862731142078,86.86586506430459,94.41734771773893,103.1686577898747,73.37711516744957,86.71836427224792,94.37393460794743,103.01277495335546
1929,73.2617171763581,86.57410745678136,94.32938866053179,103.00816689565195,73.30012537944017,86.51207608114808,94.03381055144966,102.56667698154828
1930,73.63118851116579,87.13429346997751,94.88874696075573,103.59198013635933,73.48443172705745,86.69625619559243,94.27058687651807,102.9163876386032
1931,73.18212933352623,85.93328120275655,93.1653032252634,101.41140328301314,73.62523897203839,86.7623713074203,94.29069553427733,102.87744434806002
1932,73.88849630281632,86.97373378414214,94.55214781830045,103.40173008811679,73.81270112406386,86.89801050997234,94.38082169116976,102.90101998848245
1933,74.16266353632548,87.19644062344386,94.51789100653534,102.97394133715888,73.8892000221343,86.80443731650163,94.18492925925895,102.62862454285694
1934,74.19902793648545,87.2523034695416,94.78001944499391,103.12604509776412,73.98634200580393,86.90953352552309,94.33083584410504,102.82398036001089
1935,74.01368300151807,86.66642750262406,93.9092848012017,102.23000290823178,73.93794248046852,86.80663731080105,94.17221996877004,102.58968468999755
