scenario,target_year,source_year,variant,xc_factor,h_ext,n,from_age,random_seed,mean_lifespan,mean_lifespan_from_annual_curve_0_120,survival_at_120,n_surviving_to_tmax,Top 10%,Top 1%,Top 0.01%
exponential,2090,2019,low,1.27131142045349,0.0002554250403051,1000000,0,3920265081,90.096306,90.083621,0.0,0,100.95119462471729,107.02980820449274,114.18908179666005
exponential,2090,2019,central,1.3340253412751897,0.000241110488794,1000000,0,2124410650,91.411781,91.3985025,1e-06,0,101.92713356449296,107.84575024282633,114.81576684426553
exponential,2090,2019,high,1.3340253412751897,0.0002275981545782,1000000,0,577089349,91.450423425,91.437782,0.0,0,101.91040281034074,107.868798214281,114.59258974224849
exponential,2100,2019,low,1.3147043981903015,0.0002394262406145,1000000,0,692877632,91.050780225,91.0383445,1e-06,0,101.61805997161892,107.61125720931214,114.66289360675836
exponential,2100,2019,central,1.3910238236949912,0.0002262144837935,1000000,0,3904531583,92.533443475,92.521412,0.0,0,102.73311194601064,108.50880256928971,115.06800945290604
exponential,2100,2019,high,1.3910238236949912,0.0002137317636807,1000000,0,1977725603,92.556776225,92.544939,0.0,0,102.70800336249616,108.5259081977012,115.17214826273505
historical,1980,1980,low,0.8025787836661384,0.0005345039689193,1000000,0,1466590499,72.48628015,72.474305,0.0,0,87.99298446864937,96.13359329744249,105.05658352836636
historical,1980,1980,central,0.8454292954932165,0.0004903213014376,1000000,0,2803260421,74.949119475,74.93595299999998,0.0,0,89.85086273680862,97.63221955623652,106.03302523302047
historical,1980,1980,high,0.8817071936909064,0.000449790820318,1000000,0,4225663892,76.93143575,76.918859,0.0,0,91.288446575757,98.88452748019247,107.33421393409215
historical,1990,1990,low,0.8438556087284458,0.0004758048839863,1000000,0,3114613128,74.914610275,74.90233599999999,0.0,0,89.77871018267284,97.60427674797899,106.16512849886522
historical,1990,1990,central,0.8789942036644581,0.0004393126733862,1000000,0,1476776387,76.8431272,76.830705,0.0,0,91.18640551204076,98.78857388843501,107.09989225497375
historical,1990,1990,high,0.908880569072368,0.0004056192601069,1000000,0,3692126447,78.338506125,78.32553899999999,0.0,0,92.28981343979385,99.72239492924926,107.87625544777768
historical,2000,2000,low,0.8817282685007926,0.0003784677386237,1000000,0,4017210198,77.16481825,77.152072,0.0,0,91.29958185448235,98.85081827540984,107.14274645627589
historical,2000,2000,central,0.9130924308641714,0.0003346109149408,1000000,0,2616868369,78.73958355,78.726586,0.0,0,92.44508102275994,99.89879690594054,108.14052334372731
historical,2000,2000,high,0.938790495342622,0.0002958362179156,1000000,0,3278406546,80.00665405000001,79.99445600000001,0.0,0,93.32427186835984,100.55406739877657,108.51799883463936
historical,2010,2010,low,0.908376057132949,0.0003806280751835,1000000,0,248088505,78.38481257499998,78.372326,0.0,0,92.26677835257051,99.70711812516886,107.80427619458972
historical,2010,2010,central,0.9601112952382472,0.0003440823268231,1000000,0,3626197886,80.6782275,80.665727,0.0,0,93.95200945834051,101.13280150883128,109.14483460169284
historical,2010,2010,high,0.9764391039938776,0.0003110454938852,1000000,0,2693424535,81.40883935,81.39633900000001,0.0,0,94.437835893496,101.48404946670945,109.33932707664727
historical,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,2805544298,81.37945627500001,81.366537,0.0,0,94.60281730524426,101.65440423148965,109.46765618601745
historical,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3949350013,81.917919675,81.905348,0.0,0,94.99088207983874,101.98357235994521,109.82909111664992
historical,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,2360013718,82.364523125,82.352177,0.0,0,95.2606823513797,102.26301209831979,109.94752862989064
linear,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,2781706465,81.367611775,81.35529299999999,0.0,0,94.59225853837249,101.65960407060072,109.37777473195378
linear,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,2377501251,81.906924975,81.89449199999999,0.0,0,94.96889229745969,101.95692091427958,110.10932085300166
linear,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1861655347,82.34442692500001,82.332067,0.0,0,95.26007419692607,102.21492611558129,110.06134427919136
linear,2030,2019,low,1.0171747484574378,0.0003765423384738,1000000,0,2679836439,82.720059425,82.707851,0.0,0,95.55892035795155,102.4904245867597,110.31859547638634
linear,2030,2019,central,1.0337677863599186,0.0003535006986797,1000000,0,255792426,83.343145,83.330756,0.0,0,96.03221936962554,102.87357134966425,110.52938641881478
linear,2030,2019,high,1.036735910700809,0.0003318690388803,1000000,0,2961327360,83.5322874,83.519581,0.0,0,96.12145843789504,102.92964511559505,110.54612996659908
linear,2040,2019,low,1.051873627154715,0.0003529572371811,1000000,0,4253079007,83.97381229999999,83.961336,0.0,0,96.46897404268573,103.20434910658379,110.89049126648702
linear,2040,2019,central,1.0721974010924933,0.0003316611337501,1000000,0,1688055532,84.679973725,84.667236,0.0,0,96.98670091038946,103.66150426076061,111.26303440583379
linear,2040,2019,high,1.0721974010924933,0.0003116499565753,1000000,0,496891997,84.7534651,84.740972,0.0,0,96.99566089422656,103.66164580417555,111.19360944464768
linear,2050,2019,low,1.086572505851993,0.0003308494120036,1000000,0,1771555404,85.13021834999999,85.117691,0.0,0,97.32766901826722,103.95998168238398,111.38566895511185
linear,2050,2019,central,1.110627015825068,0.0003111708351673,1000000,0,1448200449,85.89698734999999,85.884551,0.0,0,97.88282014082004,104.44858042794269,111.81672150431645
linear,2050,2019,high,1.110627015825068,0.0002926627194904,1000000,0,741724051,85.9517147,85.939326,0.0,0,97.8731862080026,104.42867570615995,111.67616853608642
linear,2060,2019,low,1.1212713845492706,0.0003101263322926,1000000,0,1208883501,86.22330292500001,86.21111,0.0,0,98.10547018244314,104.58639729642691,111.90644106276704
linear,2060,2019,central,1.1490566305576424,0.0002919464441429,1000000,0,1663993171,87.025129375,87.01315,0.0,0,98.697180223717,105.1335255349294,112.57861387010021
linear,2060,2019,high,1.1490566305576424,0.0002748322776,1000000,0,3619050579,87.0929092,87.080124,0.0,0,98.69569878809948,105.12702258607582,112.28626908655227
linear,2070,2019,low,1.155970263246548,0.0002907012631482,1000000,0,770039538,87.220861825,87.208511,0.0,0,98.82605253030127,105.23410916760267,112.39055136238301
linear,2070,2019,central,1.187486245290217,0.000273909751863,1000000,0,931731017,88.08662952499999,88.07440199999999,0.0,0,99.44761587519798,105.73347243374738,112.7791706535696
linear,2070,2019,high,1.187486245290217,0.0002580881532923,1000000,0,3706000841,88.166463375,88.154144,0.0,0,99.44660764900235,105.74384871978353,112.81225064379929
linear,2080,2019,low,1.1906691419438258,0.0002724929023963,1000000,0,4085261052,88.193953,88.181198,0.0,0,99.49966105008507,105.84183332277867,113.0
linear,2080,2019,central,1.2259158600227915,0.0002569873813189,1000000,0,373568368,89.08923902500001,89.076661,0.0,0,100.1629026370308,106.347925162383,113.51084325885817
linear,2080,2019,high,1.2259158600227915,0.000242364162796,1000000,0,2638174897,89.13427657499999,89.121725,0.0,0,100.16921858146605,106.37124238762902,113.35522408585457
linear,2090,2019,low,1.2253680206411033,0.0002554250403051,1000000,0,4284297131,89.07997069999999,89.06698599999999,0.0,0,100.15358127898632,106.33576483914366,113.1748390664526
linear,2090,2019,central,1.2643454747553664,0.000241110488794,1000000,0,626639466,89.995839625,89.983823,0.0,0,100.83463666358493,106.94499587633632,114.06069842045136
linear,2090,2019,high,1.2643454747553664,0.0002275981545782,1000000,0,806402127,90.052205075,90.039882,0.0,0,100.84946440503019,106.90048294524317,113.98680134076875
linear,2100,2019,low,1.2580333290537369,0.0002394262406145,1000000,0,1133511004,89.869431625,89.857049,0.0,0,100.73285938034606,106.8438914178177,113.92161955697284
linear,2100,2019,central,1.302775089487941,0.0002262144837935,1000000,0,1293469565,90.87196195,90.85913299999999,0.0,0,101.45843580111186,107.43383084602534,114.26885253950488
linear,2100,2019,high,1.302775089487941,0.0002137317636807,1000000,0,3739384794,90.9116044,90.898827,0.0,0,101.44786945139883,107.44171567397697,114.52493049886093
