delta,p,max_ratio_to_hmd_100_105_110,max_excess_over_hmd_100_105_110,passes_hmd_bound,pmax_mixture_vs_hmd,pmax_conservative_component_only
0.02,0.001,0.48405784838873167,-0.00014723586667888478,True,1.4420567386596168,1.1880290775588682
0.02,0.0011220184543019641,0.48410153470736156,-0.00014723237510916122,True,1.4420567386596168,1.1880290775588682
0.02,0.0012589254117941675,0.4841505515630648,-0.00014722845750349687,True,1.4420567386596168,1.1880290775588682
0.02,0.0014125375446227555,0.4842055493797357,-0.00014722406187764483,True,1.4420567386596168,1.1880290775588682
0.02,0.001584893192461114,0.4842672579449867,-0.0001472191299043206,True,1.4420567386596168,1.1880290775588682
0.02,0.0017782794100389228,0.48433649609398693,-0.0001472135961392347,True,1.4420567386596168,1.1880290775588682
0.02,0.0019952623149688807,0.484414182574907,-0.00014720738715268654,True,1.4420567386596168,1.1880290775588682
0.02,0.00223872113856834,0.48450134824014884,-0.000147200420555197,True,1.4420567386596168,1.1880290775588682
0.02,0.002511886431509582,0.4845991497251319,-0.00014719260390425005,True,1.4420567386596168,1.1880290775588682
0.02,0.002818382931264455,0.48470888479614094,-0.0001471838334776367,True,1.4420567386596168,1.1880290775588682
0.02,0.0031622776601683794,0.48483200957089717,-0.00014717399289712447,True,1.4420567386596168,1.1880290775588682
0.02,0.0035481338923357567,0.4849701578403554,-0.00014716295158418867,True,1.4420567386596168,1.1880290775588682
0.02,0.003981071705534973,0.48512516274811757,-0.000147150563027315,True,1.4420567386596168,1.1880290775588682
0.02,0.004466835921509635,0.4852990811151339,-0.00014713666283788058,True,1.4420567386596168,1.1880290775588682
0.02,0.005011872336272725,0.4854942207324685,-0.00014712106656881684,True,1.4420567386596168,1.1880290775588682
0.02,0.005623413251903491,0.48571317098428324,-0.00014710356726710906,True,1.4420567386596168,1.1880290775588682
0.02,0.006309573444801936,0.4859588372073934,-0.00014708393272765556,True,1.4420567386596168,1.1880290775588682
0.02,0.00707945784384138,0.48623447924332186,-0.000147061902412047,True,1.4420567386596168,1.1880290775588682
0.02,0.00794328234724282,0.4865437546944147,-0.0001470371839913801,True,1.4420567386596168,1.1880290775588682
0.02,0.008912509381337459,0.4868907674580036,-0.00014700944946723066,True,1.4420567386596168,1.1880290775588682
0.02,0.01,0.4872801221826285,-0.00014697833081931368,True,1.4420567386596168,1.1880290775588682
0.02,0.01122018454301963,0.4877169853689275,-0.0001469434151220779,True,1.4420567386596168,1.1880290775588682
0.02,0.012589254117941687,0.48820715392596004,-0.00014690423906543455,True,1.4420567386596168,1.1880290775588682
0.02,0.014125375446227554,0.488757132092669,-0.00014686028280691391,True,1.4420567386596168,1.1880290775588682
0.02,0.01584893192461114,0.48937421774517986,-0.0001468109630736717,True,1.4420567386596168,1.1880290775588682
0.02,0.01778279410038923,0.49006659923518187,-0.0001467556254228127,True,1.4420567386596168,1.1880290775588682
0.02,0.01995262314968879,0.4908434640443812,-0.0001466935355573312,True,1.4420567386596168,1.1880290775588682
0.02,0.022387211385683423,0.49171512069680073,-0.00014662386958243578,True,1.4420567386596168,1.1880290775588682
0.02,0.025118864315095822,0.4926931355466304,-0.0001465457030729662,True,1.4420567386596168,1.1880290775588682
0.02,0.02818382931264455,0.4937904862567206,-0.00014645799880683296,True,1.4420567386596168,1.1880290775588682
0.02,0.03162277660168379,0.49502173400428334,-0.00014635959300171047,True,1.4420567386596168,1.1880290775588682
0.02,0.03548133892335753,0.49640321669886633,-0.0001462491798723526,True,1.4420567386596168,1.1880290775588682
0.02,0.039810717055349776,0.4979532657764873,-0.0001461252943036158,True,1.4420567386596168,1.1880290775588682
0.02,0.04466835921509635,0.4996924494466518,-0.00014598629240927146,True,1.4420567386596168,1.1880290775588682
0.02,0.05011872336272725,0.5016438456199969,-0.00014583032971863415,True,1.4420567386596168,1.1880290775588682
0.02,0.05623413251903491,0.5038333481381444,-0.00014565533670155652,True,1.4420567386596168,1.1880290775588682
0.02,0.06309573444801943,0.5062900103692465,-0.00014545899130702142,True,1.4420567386596168,1.1880290775588682
0.02,0.07079457843841387,0.5090464307285297,-0.00014523868815093585,True,1.4420567386596168,1.1880290775588682
0.02,0.07943282347242822,0.5121391852394591,-0.00014499150394426687,True,1.4420567386596168,1.1880290775588682
0.02,0.08912509381337459,0.5156093128753475,-0.00014471415870277228,True,1.4420567386596168,1.1880290775588682
0.02,0.1,0.5195028601215975,-0.0001444029722236025,True,1.4420567386596168,1.1880290775588682
0.05,0.0,0.4836998179671876,-0.00014726448177439268,True,0.21007512749071627,0.22184572208650186
0.05,1e-06,0.48370103185180335,-0.0001472637807657415,True,0.21007512749071627,0.22184572208650186
0.05,1.122018454301963e-06,0.4837011799681279,-0.0001472636952297494,True,0.21007512749071627,0.22184572208650186
0.05,1.2589254117941661e-06,0.4837013461573772,-0.0001472635992567878,True,0.21007512749071627,0.22184572208650186
0.05,1.4125375446227554e-06,0.48370153262478205,-0.00014726349157335376,True,0.21007512749071627,0.22184572208650186
0.05,1.584893192461114e-06,0.48370174184465153,-0.00014726337075055354,True,0.21007512749071627,0.22184572208650186
0.05,1.778279410038923e-06,0.4837019765932059,-0.000147263235185142,True,0.21007512749071627,0.22184572208650186
0.05,1.9952623149688787e-06,0.4837022399854161,-0.00014726308307824848,True,0.21007512749071627,0.22184572208650186
0.05,2.2387211385683376e-06,0.4837025355163366,-0.00014726291241150692,True,0.21007512749071627,0.22184572208650186
0.05,2.5118864315095823e-06,0.4837028671074832,-0.00014726272092027335,True,0.21007512749071627,0.22184572208650186
0.05,2.818382931264455e-06,0.48370323915886915,-0.00014726250606357546,True,0.21007512749071627,0.22184572208650186
0.05,3.162277660168379e-06,0.48370365660738995,-0.0001472622649903954,True,0.21007512749071627,0.22184572208650186
0.05,3.548133892335753e-06,0.483704124992334,-0.00014726199450183853,True,0.21007512749071627,0.22184572208650186
0.05,3.981071705534969e-06,0.483704650528885,-0.00014726169100868605,True,0.21007512749071627,0.22184572208650186
0.05,4.466835921509635e-06,0.4837052401905937,-0.00014726135048376819,True,0.21007512749071627,0.22184572208650186
0.05,5.011872336272725e-06,0.4837059018019126,-0.00014726096840852622,True,0.21007512749071627,0.22184572208650186
0.05,5.623413251903491e-06,0.48370664414202186,-0.00014726053971305379,True,0.21007512749071627,0.22184572208650186
0.05,6.30957344480193e-06,0.48370747706132394,-0.00014726005870882247,True,0.21007512749071627,0.22184572208650186
0.05,7.079457843841373e-06,0.48370841161215183,-0.0001472595190131983,True,0.21007512749071627,0.22184572208650186
0.05,7.943282347242822e-06,0.4837094601954273,-0.0001472589134647483,True,0.21007512749071627,0.22184572208650186
0.05,8.91250938133746e-06,0.4837106367252131,-0.0001472582340282124,True,0.21007512749071627,0.22184572208650186
0.05,1e-05,0.4837119568133448,-0.00014725747168788062,True,0.21007512749071627,0.22184572208650186
0.05,1.122018454301963e-05,0.48371343797658994,-0.0001472566163279599,True,0.21007512749071627,0.22184572208650186
0.05,1.2589254117941661e-05,0.48371509986908473,-0.00014725565659834378,True,0.21007512749071627,0.22184572208650186
0.05,1.4125375446227555e-05,0.4837169645431332,-0.00014725457976400334,True,0.21007512749071627,0.22184572208650186
0.05,1.584893192461114e-05,0.4837190567418266,-0.00014725337153600115,True,0.21007512749071627,0.22184572208650186
0.05,1.778279410038923e-05,0.48372140422737064,-0.00014725201588188568,True,0.21007512749071627,0.22184572208650186
0.05,1.9952623149688786e-05,0.48372403814947235,-0.0001472504948129505,True,0.21007512749071627,0.22184572208650186
0.05,2.238721138568338e-05,0.48372699345867765,-0.00014724878814553494,True,0.21007512749071627,0.22184572208650186
