scenario_id,factor,age,remaining_median,n,random_seed
central,0.95,100,1.6749999999999972,300000,20265823
Xc_ci_lower,0.95,60,21.875,300000,20265823
Xc_ci_lower,0.95,65,17.599999999999994,300000,20265823
Xc_ci_lower,0.95,70,13.700000000000003,300000,20265823
Xc_ci_lower,0.95,75,10.275000000000006,300000,20265823
Xc_ci_lower,0.95,80,7.450000000000003,300000,20265823
Xc_ci_lower,0.95,85,5.25,300000,20265823
Xc_ci_lower,0.95,90,3.625,300000,20265823
Xc_ci_lower,0.95,95,2.5,300000,20265823
Xc_ci_lower,0.95,100,1.7750000000000057,300000,20265823
Xc_ci_upper,0.95,60,22.299999999999997,300000,20265823
Xc_ci_upper,0.95,65,17.974999999999994,300000,20265823
Xc_ci_upper,0.95,70,14.025000000000006,300000,20265823
Xc_ci_upper,0.95,75,10.525000000000006,300000,20265823
Xc_ci_upper,0.95,80,7.650000000000006,300000,20265823
Xc_ci_upper,0.95,85,5.400000000000006,300000,20265823
Xc_ci_upper,0.95,90,3.7249999999999943,300000,20265823
Xc_ci_upper,0.95,95,2.549999999999997,300000,20265823
Xc_ci_upper,0.95,100,1.75,300000,20265823
xc_std_frac_ci_lower,0.95,60,22.075000000000003,300000,20265823
xc_std_frac_ci_lower,0.95,65,17.75,300000,20265823
xc_std_frac_ci_lower,0.95,70,13.825000000000003,300000,20265823
xc_std_frac_ci_lower,0.95,75,10.375,300000,20265823
xc_std_frac_ci_lower,0.95,80,7.525000000000006,300000,20265823
xc_std_frac_ci_lower,0.95,85,5.275000000000006,300000,20265823
xc_std_frac_ci_lower,0.95,90,3.674999999999997,300000,20265823
xc_std_frac_ci_lower,0.95,95,2.5250000000000057,300000,20265823
xc_std_frac_ci_lower,0.95,100,1.7750000000000057,300000,20265823
xc_std_frac_ci_upper,0.95,60,22.099999999999994,300000,20265823
xc_std_frac_ci_upper,0.95,65,17.799999999999997,300000,20265823
xc_std_frac_ci_upper,0.95,70,13.875,300000,20265823
xc_std_frac_ci_upper,0.95,75,10.450000000000003,300000,20265823
xc_std_frac_ci_upper,0.95,80,7.599999999999994,300000,20265823
xc_std_frac_ci_upper,0.95,85,5.400000000000006,300000,20265823
xc_std_frac_ci_upper,0.95,90,3.700000000000003,300000,20265823
xc_std_frac_ci_upper,0.95,95,2.5250000000000057,300000,20265823
xc_std_frac_ci_upper,0.95,100,1.7750000000000057,300000,20265823
central,1.0,60,23.724999999999994,300000,20265924
central,1.0,65,19.275000000000006,300000,20265924
central,1.0,70,15.125,300000,20265924
central,1.0,75,11.450000000000003,300000,20265924
central,1.0,80,8.325000000000003,300000,20265924
central,1.0,85,5.849999999999994,300000,20265924
central,1.0,90,3.9749999999999943,300000,20265924
central,1.0,95,2.75,300000,20265924
central,1.0,100,1.875,300000,20265924
Xc_ci_lower,1.0,60,23.549999999999997,300000,20265924
Xc_ci_lower,1.0,65,19.099999999999994,300000,20265924
Xc_ci_lower,1.0,70,14.974999999999994,300000,20265924
Xc_ci_lower,1.0,75,11.299999999999997,300000,20265924
Xc_ci_lower,1.0,80,8.224999999999994,300000,20265924
Xc_ci_lower,1.0,85,5.775000000000006,300000,20265924
Xc_ci_lower,1.0,90,3.9749999999999943,300000,20265924
Xc_ci_lower,1.0,95,2.7249999999999943,300000,20265924
